ID,Event start date,One day?,Event end date,Day of the week,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Number of protesters,Number of protesters arrested,Number of protesters injured,Number of protesters killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
CK11030201,02.03.11,1,02.03.11,Wed,protest,strike,mass-media,,,"TV-channel and newspaper ""Antenna""",,government,,,,,"Journalists announced the warning strike against freedom of speech demolition. This day newspaper was not published, and broadcasting of informational programms was stopped.",,Cherkasy,Cherkasy,,freedom of speech,,,,0,0,0,N,0,0,0,N
CK11030901,09.03.11,1,09.03.11,Wed,protest,rally,,"NGO, party",rightists,"UNP party, Svoboda, Motherland party",,local authorities,,,,,"Representatives of opposition gather for a rally devoted to Taras Shevchenko's birthday. During the rally people expressed their anxiety about modern state of affairs in Ukraine: mass-media can not work freely, people do not trust authorities, while establishment preoccupied only with money.",,Cherkasy,Cherkasy,,Ukrainian nationalism,freedom of speech,anti-government,,0,0,0,N,,0,0,N
CK11031601,16.03.11,1,16.03.11,Wed,protest,strike,workers,trade union,,"Workers of poultry factory ""The first of May""",state enterprise,state enterprise,,,,"Management of the poultry factory ""The first of May""","Workers of poultry factory ""The first of May"" demanded pay-off salary debts, do not close the factory and save all working places.",,Cherkasy,Khutory village,11:30-14:00,company closure,wage arrears,,69,0,0,0,N,,0,0,N
CK11032401,24.03.11,1,24.03.11,Thu,negative response,preempt,local authorities,,,City Executive Committee of Tal'ne,,,small business,business association,,local business association,Local authorities prohibited the rally and banned drive of cars in protest motorcade.,,Cherkasy,Talne,,welfare,small business rights,,,0,0,0,N,0,0,0,N
CK11032402,24.03.11,1,24.03.11,Thu,protest,rally,citizens,,,,,government,,,,,People took part in protest motorcade against oligarchy in Ukraine.,,Cherkasy,Uman,,anti-government,,,101,0,0,0,N,,0,0,N
CK11032403,24.03.11,1,24.03.11,Thu,protest,rally,citizens,,,,local authorities,"local authorities, government",,,,City Executive Committee of Cherkassy,People protested against passage fare increase. Also people expressed their anxiety about growth of inequalities in society.,,Cherkasy,Cherkasy,,public transportation,welfare,,30,0,0,0,N,,0,0,N
CK11032801,28.03.11,1,28.03.11,Mon,protest,rally,"teachers, pensioners",party,leftists,"SPU party, ""Justice"" party",local authorities,"local authorities, government",,,,"City Executive Committee of Cherkassy, Cabinet of Ministers",People protested against passage fare and public utilities rates increase. Also people expressed their anxiety about growth of inequalities in society.,,Cherkasy,Cherkasy,,public transportation,public utilities,welfare,199,0,0,0,N,,0,0,N
CK11033001,30.03.11,1,30.03.11,Wed,protest,rally,"teachers, students",,,,local authorities,local authorities,,,,Central board of education and science in Cherkassy region,People protested against unification of two schools in their town.,,Cherkasy,Kaniv,,education,,,,0,0,0,N,,0,0,N
KM11011201,12.01.11,2,23.01.11,Wed,protest,tent camp,small business,trade union,,"entrepreneurs of a market, trade union of Free entrepreneurship of Khmelnytskyi Region",,local authorities,,,,City Council,entrepreneurs organized a tent camp in front of the City Council to get back their permissions to trade and to initiate public gathering on the question of existence of their market. they also demanded resignation of City Mayor and deputies of the City Council,KM11011001,Khmelnytskyi,Khmelnytskyi,,small business rights,anti-local authorities,,5,0,0,0,N,,0,0,N
CK11033102,31.03.11,1,31.03.11,Thu,protest,symbolic,,party,,"Pro-Lutsenko party ""Popular self-defense""",,government,,,,,In a symbolic way (flashmob) people protested against increase of prices and public utilities rates.,,Cherkasy,Cherkasy,,public utilities,price increase,,10,0,0,0,N,,0,0,N
KM11011202,12.01.11,2,28.01.11,Wed,protest,hunger strike,small business,trade union,,"entrepreneurs of a market, trade union of Free entrepreneurship of Khmelnytskyi Region",,local authorities,,,,City Council,entrepreneurs organized a hunger strike to get back their permissions to trade and to initiate public gathering on the question of existence of their market. they also demanded resignation of City Mayor and deputies of the City Council,KM11011001,Khmelnytskyi,Khmelnytskyi,15:00,small business rights,anti-local authorities,,101,0,0,0,N,0,0,0,N
CK11041901,19.04.11,1,19.04.11,Tue,protest,symbolic,,"NGO, party",rightists,"UNP, NGO ""Freedom 21"", The Council of Cherkassy region opposition",,government,,,,"Cabinet of Ministers, the President of Ukraine, the Parliament","In symbolic way people protested against current administration. People planted potatoes with portraits of representatives of current administration with the aim to dismiss them in autumn. (In Ukrainian language word ""to harvest"" could be understood as the word ""to dismiss"")",,Cherkasy,Cherkasy,,anti-government,,,,0,0,0,N,,0,0,N
CK11042001,20.04.11,1,20.04.11,Wed,negotiation,cancel,small business,trade union,,"trade union ""Solidarity""",,,,,,,"People decided to cancel the rally in support of arrested boss entrepreneur, because of the President's visit.",,Cherkasy,Cherkasy,,pro-boss,civic liberties,,,0,0,0,N,,0,0,N
CK11042701,27.04.11,1,27.04.11,Wed,protest,picket,citizens,,,"""youth resistance""",local authorities,company,,,,Cherkassy City Council,People (mainly youth) protested against increase of public transportation prices.,,Cherkasy,Cherkasy,,public transportation,,,31,0,0,0,N,,0,0,N
CK11050901,09.05.11,approximate,09.05.11,Mon,protest,vandalism,,,leftists,,,,,,,,"Monument of B.Khmelnytskyi covered with soviet mottos ""For Stalin"", ""To Berlin!"" and symbols",CK11050901,Cherkasy,Irkliiv village,,pro-Communism,,,,0,0,0,Y,0,0,0,N
CK11051101,11.05.11,1,11.05.11,Wed,protest,symbolic,citizens,,,,local authorities,,,,,city council,theatrical action which supported a law about public information,,Cherkasy,Cherkasy,,civic liberties,,,19,0,0,0,N,,0,0,N
CK11051301,13.05.11,1,13.05.11,Fri,protest,picket,,party,rightists,Council of opposition,mass-media,local authorities,,,,"Regional State administration, Regional State broadcast company",Protest against officials forcing people to subscribe for governmental newspapers and closing independent mass-media,,Cherkasy,Cherkasy,,freedom of speech,,,99,0,0,0,N,,0,0,N
CK11052001,20.05.11,1,20.05.11,Fri,protest,symbolic,,NGO,,"Christian council, Power of goodness",government,LGBT,,,,"President, Prime minister","Group of activists held a flashmob against homosexuality, homosexual marriages. Seven pairs of men and women created a heart",,Cherkasy,Cherkasy,,LGBT,,,19,0,0,0,N,,0,0,N
CK11052002,20.05.11,1,20.05.11,Fri,protest,rally,neighborhood,,,citizens of Cherkasy,local authorities,local authorities,,,,city council,Citizens of Cherkasy protesting againast reconstruction of central sqyare and cutting down the trees,,Cherkasy,Cherkasy,,development projects,environment,,,0,0,0,N,,0,0,N
CK11052201,22.05.11,1,22.05.11,Sun,protest,rally,,party,rightists,Svoboda,,government,,,,"President, Prime minister","Activists protested against government during the celebrations of 150 aniversary T.Shevchenko's re-burial. They whistled and shouted ""Shame!""",,Cherkasy,Kaniv,,anti-government,,,101,0,0,0,N,,0,0,N
CK11052301,23.05.11,1,23.05.11,Mon,negative response,preclude,court,,,,,,,party,rightists,"BYT, Svoboda",A preclude against rally of opposition on 24th of may,СK11052301,Cherkasy,Cherkasy,,anti-government,,,,0,0,0,N,0,0,0,N
CK11052401,24.05.11,1,24.05.11,Tue,protest,rally,,party,rightists,"BYT, Svoboda, UNP, Our Ukraine",local authorities,local authorities,,,,governor,Political opposition protested against local authorities,СK11052301,Cherkasy,Cherkasy,16:00,anti-governor,,,101,0,0,0,N,,0,0,N
CK11052402,24.05.11,1,24.05.11,Tue,protest,fight,unknown,,,,,,,party,rightists,"BYT, Svoboda",Unknown people attacking activists at the rally,СK11052301,Cherkasy,Cherkasy,18:50,anti-governor,,,,0,0,0,N,,0,0,N
CK11052403,24.05.11,1,24.05.11,Tue,negative response,intervention,state forces,,,police,,,,party,rightists,"BYT, Svoboda",Police attempting to stop the fight,СK11052301,Cherkasy,Cherkasy,,anti-governor,,,,0,0,0,N,,0,0,N
CK11052404,24.05.11,1,24.05.11,Tue,negative response,arrest,state forces,,,police,,,,party,rightists,"BYT, Svoboda","Attempt to arrest members of opposition, involved in fight",СK11052301,Cherkasy,Cherkasy,,anti-governor,,,,9,0,0,N,,0,0,N
CK11052405,24.05.11,1,24.05.11,Tue,protest,symbolic,,"party, NGO",rightists,"Volya XXI, BYT activists",local authorities,"local authorities, government",,,,Governor,"During the protests activists have written on a building fence mottos ""Tulub - go to Donets'k"" and ""Fight. Love. Don't give away your rights""",СK11052301,Cherkasy,Cherkasy,,anti-governor,,,,0,0,0,Y,,0,0,N
CK11052701,27.05.11,1,27.05.11,Fri,protest,picket,citizens,,,farmer Biruk,local authorities,local authorities,,,,Drabiv region administration,Farmer picketed and threatened to commit suicide if his term of lease for land won't be extended,CK11052701,Cherkasy,Drabiv urban village,,land,,,1,0,0,0,N,,0,0,N
CK11052801,28.05.11,1,28.05.11,Sat,positive response,accede,local authorities,,,Drabiv region administration,,,citizens,,,farmer Biruk,"According to different sources, farmer's demands where either satisfied or ignored",CK11052701,Cherkasy,Drabiv urban village,,land,,,,0,0,0,N,0,0,0,Y
CK11060101,01.06.11,1,01.06.11,Wed,negative response,arrest,law-enforcement,,,police,,,,"party, NGO",rightists,"Volya XXI, BYT activists","Activists, who covered a building fence with anti-govrnmental mottos during the rally on 24th of may are were held under arrest for 3 days",СK11052301,Cherkasy,Cherkasy,6:15,anti-government,,,,2,0,0,N,,0,0,N
CK11061101,11.06.11,1,11.06.11,Sat,protest,demonstration/march,football fans,initiative group,rightists,Autonomous resistance,law-enforcement,law-enforcement,,,,"police, court",Protesters demanded justice and to review the case of Pavlichenko family,,Cherkasy,Cherkasy,,police abuse,,,35,0,0,0,N,,0,0,N
CK11061401,14.06.11,1,14.06.11,Tue,negative response,suit,court,,,Sosnivskyi court,,,,party,,Leader of Council of Opposition,"L.Datsenko was suited, as one of the oragnizators of the rally on 24th of may. He wasn't found guilty of anything",СK11052301,Cherkasy,Cherkasy,,anti-governor,,,,0,0,0,N,0,0,0,N
CK11070501,05.07.11,approximate,05.07.11,Tue,protest,sabotage,neighborhood,,,,local authorities,local authorities,,,,,To stop the cut down of trees villagers hammered nails into stems,,Cherkasy,Holodnyanske village,,environment,,,,0,0,0,Y,0,0,0,N
CK11070601,06.07.11,1,06.07.11,Wed,protest,demonstration/march,company,,,"workers and owner of café ""Robinson""",local authorities,local authorities,,,,governor,Workers protested against illegal closing of the café,CK11070601,Cherkasy,Cherkasy,,company closure,,,41,0,0,0,N,,0,0,N
CK11070602,06.07.11,1,06.07.11,Wed,protest,blockade,company,,,"workers and owner of café ""Robinson""",law-enforcement,local authorities,,,,"representatives of local authorities, attempting to demolish the café",Workers attempted to interfere demolishing the building,CK11070601,Cherkasy,Cherkasy,,company closure,,,21,0,1,0,N,,0,0,N
CK11070603,06.07.11,1,06.07.11,Wed,protest,demonstration/march,"veterans, pensioners, Chernobyl",,,,government,government,,,,Supreme Rada,"Activists protested against new law, by which they might not receive social payments in case of lack of funds",,Cherkasy,Kaniv,,social payments,,,701,0,0,0,N,,0,0,N
CK11070604,06.07.11,approximate,06.07.11,Wed,protest,vandalism,unknown,,,,,,,,,,"A monument dedicated to warriors-internationalists was destroyed. Vandalism is suspected, reasons are unknown",,Cherkasy,Cherkasy,,anti-Communism,,,,0,0,0,Y,0,0,0,Y
CK11070605,06.07.11,1,06.07.11,Wed,negative response,arrest,state forces,,,Berkut,,,company,,,"workers and owner of café ""Robinson""",Berkut arrested one of workers of Robinson café who tried to stop the demolition,CK11070601,Cherkasy,Cherkasy,,company closure,,,,1,0,0,N,,0,0,N
CK11070606,06.07.11,1,06.07.11,Wed,protest,traumatization,company,,,"workers of café ""Robinson""",law-enforcement,local authorities,,,,"representatives of local authorities, attempting to demolish the café",Two women set fire to themsleves as a protest against demo;ition of Robinson cafe,CK11070601,Cherkasy,Cherkasy,,company closure,,,2,0,2,0,N,,0,0,N
CK11072901,29.07.11,approximate,29.07.11,Fri,protest,symbolic,unknown,,,,,government,,,,president,Graffiti of V.Yanukovich with bullet in his head appeared around town,,Cherkasy,Cherkasy,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
CK11080101,01.08.11,1,01.08.11,Mon,protest,symbolic,,initiative group,rightists,Autonomous ukrainian nationalists,local authorities,local authorities,,,,Executive Committee,"Activists dropped the trash, collected during the cleaning the beaches, in front of the Executive Committee building with note ""to authorities of the city from grateful citizens""",,Cherkasy,Cherkasy,,anti-local authorities,,,,0,0,0,N,0,0,0,N
CK11080901,09.08.11,1,09.08.11,Tue,protest,attack,unknown,,,,,party,,,,BYT deputy A.Trostyanska,A BYT deputy of city council was attacked by a stranger for unknown reasons,CK11080901,Cherkasy,Vatutine,18:00,anti-Trostyanska,,,,0,1,0,N,0,0,0,Y
CK11081101,11.08.11,1,11.08.11,thu,protest,rally,workers,,,workers of Cherkaselectrotrans,state enterprise,state enterprise,,,,Cherkaselectrotrans,Workers demanded to repay wages,,Cherkasy,Cherkasy,11:00,wage arrears,,,41,0,0,0,N,0,0,0,N
CK11081201,12.08.11,1,12.08.11,Fri,protest,rally,,party,leftists,CPU,local authorities,local authorities,,,,City Council,Activists of CPU protested against changing soviet names of streets,,Cherkasy,Cherkasy,,pro-Communism,,,19,0,0,0,N,,0,0,N
CK11081801,18.08.11,1,18.08.11,Thu,negative response,preclude,court,,,District administrative court,,,,"party, NGO",,"UNP, ""Freedom""",A preclude against opposition's rally on Independence day and Day of Flag,,Cherkasy,Cherkasy,,Ukrainian nationalism,,,,0,0,0,N,0,0,0,N
CK11082301,23.08.11,1,23.08.11,Tue,positive response,accede,court,,,Higher Economic Court,,,company,,,"café ""Robinson""","The demolition of buildings has been proven illegal in court, but by the time of report café has no legal permission to fuction",CK11070601,Cherkasy,Cherkasy,,company closure,,,,0,0,0,N,0,0,0,N
CK11082302,23.08.11,1,23.08.11,Tue,protest,rally,,"party, NGO",,"UNP, ""Freedom""",government,government,,,,,Opposition held an alternative celebration of the Day of Flag and protested against political repressions and government,,Cherkasy,Cherkasy,10:00-10:30,anti-government,civic liberties,,49,0,0,0,N,,0,0,N
CK11082303,23.08.11,1,23.08.11,Tue,protest,rally,,party,leftists,CPU,,,,,,,Communists held a rally during the celebration of Day of Flag,,Cherkasy,Cherkasy,,pro-Communism,civic liberties,welfare,31,0,0,0,N,,0,0,N
CK11082401,24.08.11,approximate,24.08.11,Wed,protest,vandalism,,,leftists,,,,,,,,B.Khmelnytskyi monument covered with soviet mottos,CK11050901,Cherkasy,Irkliiv village,,pro-Communism,,,,0,0,0,Y,0,0,0,N
CK11082402,24.08.11,approximate,24.08.11,Wed,protest,vandalism,unknown,,,,,,,,,,"Over the insriptions on the monument of victims of hunger and political repressions, which is cross-shaped, were written numbers 1991-2011",,Cherkasy,Cherkasy,,Ukrainian nationalism,,,,0,0,0,Y,0,0,0,N
CK11082403,24.08.11,1,24.08.11,Wed,protest,tent camp,,party,rightists,"Svoboda, BYT, Our Ukraine, UNP, Front Zmin, For Ukraine",government,government,,,,,"Oppositional parties placed a tent camp on the central square and held their own celebration of Independence day, despite the preclude",Independence day,Cherkasy,Cherkasy,,anti-government,,,301,0,0,0,N,,0,0,N
TE11011701,17.01.11,1,17.01.11,Mon,protest,picket,,"NGO, party",rightists,"Ukrainska sprava, ""Tryzub"", The Youth Nationalistic Congress, Association of the Political Prisoners and the Repressed, ""Svoboda""","local authorities, law-enforcement",government,,,,"Regional state administration, SBU, public prosecution office, police department",The picketers criticized the government and protested against political repressions.,,Ternopil,Ternopil,,anti-government,civic liberties,taxes,199,0,0,0,N,,0,0,N
CK11090401,04.09.11,1,04.09.11,Sun,protest,destroy,citizens,,,,local authorities,ethnic minority,,,,Hasids,"Citizens have thrown down a wall, which was surrounding the canteen for jew piligrims, saying that it was standing in their way, therefore hindering them",,Cherkasy,Cherkasy,,development projects,antisemitism,,,0,0,0,Y,0,0,0,N
CK11091201,12.09.11,1,12.09.11,Mon,protest,rally,,party,,BYT,law-enforcement,law-enforcement,,,,"police, prosecutor",BYT deputy A.Trostyanska and her supporters protested against police's illegal actions and demanded justice,CK11080901,Cherkasy,Cherkasy,,police non-feasance,,,19,0,0,0,N,,0,0,N
CK11091301,13.09.11,1,13.09.11,Tue,protest,arson,unknown,,,,,party,,,,BYT deputy A.Gryshchenko,"Gryshchenko's car was burned for unknown reasons. No demands were sounded, but he associates it with political career",,Cherkasy,Cherkasy,,anti-Hryshchenko,,,,0,0,0,Y,0,0,0,Y
CK11092101,21.09.11,1,21.09.11,Wed,negative response,preclude,court,,,District administrative court,,,,party,rightists,Svoboda,"A preclude against announced march ""Uman' without hasides""",CK11092101,Cherkasy,Uman,,immigration,antisemitism,,,0,0,0,N,0,0,0,N
CK11092501,25.09.11,1,25.09.11,Sun,protest,demonstration/march,,"party, NGO",rightists,"Svoboda, Sokil",,foreign citizens,,,,Hasids,"Despite the preclude, Svoboda and Sokil held the demonstration against Hasids",CK11092101,Cherkasy,Uman,,immigration,antisemitism,,101,0,0,0,N,,0,0,N
CK11092502,25.09.11,1,25.09.11,Sun,negative response,arrest,state forces,,,Berkut,,,,"party, NGO",rightists,"Svoboda, Sokil",Berkut arrested nearly 60 activists,CK11092101,Cherkasy,Uman,,immigration,antisemitism,,,59,0,0,N,,0,0,N
CK11101001,10.10.11,1,10.10.11,Mon,protest,rally,,,rightists,Autonomous resistance,,government,,,,those now in power,Several youth activists in masks held banners against political repressions and the government.,,Cherkasy,Cherkasy,,police abuse,,,5,0,0,0,N,,0,0,N
CK11101201,12.10.11,1,12.10.11,Wed,negative response,preclude,court,,,Cherkasy district administrative court,,,,"party, NGO",leftists,SPU and around 12 NGOs,"The court prohibited action against the local authorities decision, which threatens the right of pensioners for compensations in transportation.",CK11101201,Cherkasy,Cherkasy,,social payments,public transportation,,,0,0,0,N,0,0,0,N
CK11101301,13.10.11,1,13.10.11,Thu,protest,picket,"pensioners, workers","party, trade union",leftists,"SPU, union of electro-transportation workers and pensioners, including Afghan vets",local authorities,local authorities,,,,mayor,The pensioners with SPU protest against local cut of transportation compensations. The protest took place despite court prohibition. When the mayor came out to speak to people they got so close to him with angry questions and blocked the door into the executive council that he had to run away with some help from the police.,CK11101201,Cherkasy,Cherkasy,,social payments,public transportation,,1999,0,0,0,N,,0,0,N
CK11101302,13.10.11,1,13.10.11,Thu,protest,blockade,"pensioners, workers","party, trade union",leftists,"SPU, union of electro-transportation workers and pensioners, including Afghan vets",local authorities,local authorities,,,,mayor,During the action the protesters obstructed the central road.,CK11101201,Cherkasy,Cherkasy,,social payments,public transportation,,1999,0,0,0,N,,0,0,N
CK11101303,13.10.11,1,13.10.11,Thu,negative response,arrest,state forces,,,police,,,pensioners,,,unknown man,Photo claims that during road obstruction - action CK11101302 one man was detained by police.,CK11101201,Cherkasy,Cherkasy,,social payments,,,,1,0,0,N,,0,0,N
CK11101401,14.10.11,1,14.10.11,Fri,protest,tent camp,,party,,Party of Regions,,,,party,,"BYT, Narodny Rukh, Peoples Party of Ukraine",The PR set up 18 tents to occupy the space that anti-Yanukovych protesters wanted to use.,CK11101401,Cherkasy,Cherkasy,,pro-Yanukovych,,,31,0,0,0,N,,0,0,N
SUMY11012101,21.01.11,1,21.01.11,Fri,protest,rally,,"party, business association",,"Bat'kivshchyna (BYT), Sumy Union of entrepreneurs, tenants and owners",,government,,,,President Yanukovych,"People protested against politics of government, particularly against new Tax Code, pension reform and for labor rights. dedicated to the anniversary of Yanukovych as a president",,Sumy,Sumy,,anti-Yanukovych,taxes,social payments,499,0,0,0,N,,0,0,N
CK11102001,20.10.11,1,20.10.11,Thu,protest,break in,pensioners,party,leftists,SPU,local authorities,local authorities,,,,city council,Outraged by local authorities decision reducing compenstations for transportation the pensioners led by SPU attempted to break into city council. One woman unintentionally got injured.,CK11101201,Cherkasy,Cherkasy,,social payments,public transportation,,31,0,1,0,N,,0,0,N
KIEV11020103,01.02.11,1,01.02.11,Tue,protest,symbolic,,trade union,rightists,"People's Solidarity, Olexiy Kliashtorny",,"government, local authorities",,,,"President of Ukraine V.Yanukovych, Kyiv state administration",Protesters gathered near the Kyiv State Administration to protest against new municipal tariffs and burn the portrait of V.Yanukovych,KIEV11020103,Kyiv,Kyiv,,anti-Yanukovych,public utilities,,19,0,0,0,N,,0,0,N
CK11110401,04.11.11,1,04.11.11,Fri,protest,rally,,party,leftists,CPU,local authorities,local authorities,,,,"the mayor Odarych, city council",Cherkasy CPU now stand against mayor Odarych. This opposition began with the action against cut of trolleybus transportation.,CK11101201,Cherkasy,Cherkasy,,anti-Odarych,,,,0,0,0,N,,0,0,N
CK11111501,15.11.11,1,15.11.11,Tue,protest,symbolic,,party,,Front Zmin,,government,,,,Yanukovych,"Front Zmin youth ""cleared the ears of the government"" and gave away those spagetti that they 'put on people's ears'.",Front Zmin Vs Yanukovych,Cherkasy,Cherkasy,,anti-Yanukovych,,,9,0,0,0,N,,0,0,N
CK11111701,17.11.11,1,17.11.11,Thu,protest,picket,,party,rightists,Svoboda,local authorities,government,,,,,Cherkasy Svoboda stood against trade of land.,CK11111701,Cherkasy,Cherkasy,,land,,,49,0,0,0,N,,0,0,N
CK11111702,17.11.11,1,17.11.11,Thu,protest,rally,,party,rightists,Svoboda,,government,,,,Parliament,Svoboda party activists protest against Parliament planning to allow land trade.,CK11111701,Cherkasy,Smila,,land,,,,0,0,0,N,,0,0,N
CK11112201,22.11.11,1,22.11.11,Tue,protest,rally,,party,,"BYT (Batkivshyna), Nasha Ukraina, Ukrainian Peoples Party",,government,,,,,Oppositional parties stood against regime in the Day of Freedom.,Freedom Day,Cherkasy,Cherkasy,,Orange Revolution,pro-Tymoshenko,,50,0,0,0,N,,0,0,N
CK11112401,24.11.11,1,24.11.11,Thu,positive response,accede,local authorities,,,city council,,,pensioners,,,citizens who are granted compensations for public transportation,Local authorities revised local budget and financed public transportation compensations.,CK11101201,Cherkasy,Cherkasy,,public transportation,,,,0,0,0,N,0,0,0,N
CK11112601,26.11.11,1,26.11.11,Sat,protest,rally,,party,rightists,Svoboda,,government,,,,Parliament,Svoboda stand against land trade law.,land trade moratorium,Cherkasy,Cherkasy,,land,,,,0,0,0,N,,0,0,N
CK11112901,29.11.11,1,29.11.11,Tue,protest,picket,citizens,,,,local authorities,"company, ethnic minority",,,,Hasidim company,"People demanded to remove Hasidim trading kiosk which obstructs entry to one of the building yards. So they came to city council session. They had no party symbolics, but oppositional party deputy supported them.",CK11112901,Cherkasy,Uman,,development projects,antisemitism,,21,0,0,0,N,,0,0,N
CK11120101,01.12.11,1,01.12.11,Thu,protest,demonstration/march,,party,rightists,"Svoboda, Nasha Ukraina, BYT, Front Zmin, UNA-UNSO",,government,,,,,"This was a torch march dedicated to 20th anniversary of Independence referendum, oppositional parties with nationalistic framing disliked the current government.",,Cherkasy,Cherkasy,,Ukrainian nationalism,anti-government,anti-Yanukovych,99,0,0,0,N,,0,0,N
CK11120501,05.12.11,1,05.12.11,Mon,protest,break in,neighborhood,,,,local authorities,foreign citizens,,,,"city council, Hasidim","People came in the city council session and expressed concern because Hasidim trading places and pilgrim infrastructure restrict public areas of citizens. They adress the local authorities to check for illegal trading places, put down fences, bring back public space.",CK11112901,Cherkasy,Uman,,development projects,antisemitism,,,0,0,0,N,,0,0,N
KIEV11020303,03.02.11,1,03.02.11,Thu,protest,symbolic,,NGO,,"""Femen""",,government,,,,President of Ukraine V.Yanukovych,"""Femen"" activists protested against the abusive statements of V.Yanukovych about women on the Economic Summit in Davos, helding the banners ""Diarrhea in Davos"", ""Impeachment to the president"" etc.",,Kyiv,Kyiv,12:00,anti-Yanukovych,women's rights,,4,0,0,0,N,,0,0,N
CK11121401,14.12.11,1,14.12.11,Wed,protest,rally,,party,rightists,"Svoboda, Front Zmin, Batkivshyna (BYT)",,"local authorities, government",,,,Party of Regions and their rule locally and nationally,United opposition rallied against Party of Regions rule.,,Cherkasy,Cherkasy,,anti-government,anti-PR,,25,0,0,0,N,,0,0,N
