ID,Event date,Day,Action,Actor,Actor specified ,Target,Target specified,Event,Oblast,Location,Issue,Linked date,Time,# protester,Arrests,Injuries,ProtKilled,Propdamag,#State,#State inj,#State killed,,,,,,
CK 24,24-Mar-2010,Wed,rally ,party,"""Svoboda"", UNP",local authorities,Cherkasy regional council,"Protesters demanded to support appeal to the President of Ukraine to release the newly appointed Dmitry Tabachnik from the post of Minister of Education and Science of Ukraine. The rally held on with the slogan  ""Down Tabachnik!""",Cherkasy,Cherkasy,anti-Tabachnyk,,,,0,0,0,N,,0,0,,,,,,
CK 25,16-Mar-2010,Fri,picket,citizens,veterans of the Afghan war and the victims of the Chernobyl disaster,local authorities ,,Protesters demanded fulfilment the law about free ride of the privileged social groups. In concrete protesters demanded free ride in all the public transport without exceptions.,Cherkasy,Smila,public transportation ,,,,0,0,0,N,,0,0,,,,,,
CK 26,16-Mar-2010,Fri,negotiation,local authorities ,,company,carrier companies of Cherkasy region,Local authorities negotiate with the carrier companies of Cherkasy region to keep free ride  for privileged social groups.,Cherkasy,Smila,public transportation ,,,,0,0,0,N,,0,0,,,,,,
CK 27,16-Mar-2010,Fri,accede,local authorities ,First Deputy Mayor Vladimir Hrechanyi,citizens,veterans of the Afghan war and the victims of the Chernobyl disaster,Local authorities accede the protesters demands and promised to keep free ride for privileged social groups till the adoption of state budget.,Cherkasy,Smila,public transportation ,,,,0,0,0,N,,0,0,,,,,,
CK 28,25-Mar-2010,Thu,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,5:00,248,0,0,0,N,,0,0,,,,,,
CK 28,26-Mar-2010,Fri,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,27-Mar-2010,Sat,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,28-Mar-2010,Sun,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,29-Mar-2010,Mon,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,30-Mar-2010,Tue,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,31-Mar-2010,Wed,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,1-Apr-2010,Thu,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,2-Apr-2010,Fri,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,3-Apr-2010,Sat,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,4-Apr-2010,Sun,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,5-Apr-2010,Mon,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,6-Apr-2010,Tue,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,7-Apr-2010,Wed,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,8-Apr-2010,Thu,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,9-Apr-2010,Fri,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,10-Apr-2010,Sat,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,11-Apr-2010,Sun,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,12-Apr-2010,Mon,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,13-Apr-2010,Tue,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,14-Apr-2010,Wed,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,15-Apr-2010,Thu,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,16-Apr-2010,Fri,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,17-Apr-2010,Sat,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,18-Apr-2010,Sun,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,19-Apr-2010,Mon,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,20-Apr-2010,Tue,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,"
"
CK 28,21-Apr-2010,Wed,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,22-Apr-2010,Thu,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 28,23-Apr-2010,Fri,strike,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Protesters redeem their previous ultimatum and started an indefinite strike. They demanded to pay-off the salary debt in 1,8 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,248,0,0,0,N,,0,0,,,,,,
CK 29,23-Mar-2010,Tue,mobilization,party,Svoboda,politician,Minister of education and science D. Tabachnyk,"Young activists of Svoboda party established an agitational tent, collected signatures for resign of Tabachnyk, and registered Svoboda supporters and volunteers for anti-Tabachnyk campaign",Cherkasy,Cherkasy,anti-Tabachnyk,,,,0,0,0,N,,0,0,,,,,,
CK 3,23-Oct-2009,Sat,picket,citizens,inhabitants of Potoky village ,local authorities,Chairman of village council,Residents of Potoky village picketed the village council demanding the resignation of the chairman of the village council due to illegal privatization of property shares.,Cherkasy,Potoky village,privatization,,,101,0,0,0,N,,0,0,,,,,,
CK 3,24-Oct-2009,Sat,picket,citizens,inhabitants of Potoky village ,local authorities,Chairman of village council,Residents of Potoky village picketed the village council demanding the resignation of the chairman of the village council due to illegal privatization of property shares.,Cherkasy,Potoky village,privatization,,,101,0,0,0,N,,0,0,,,,,,
CK 3,25-Oct-2009,Sun,picket,citizens,inhabitants of Potoky village ,local authorities,Chairman of village council,Residents of Potoky village picketed the village council demanding the resignation of the chairman of the village council due to illegal privatization of property shares.,Cherkasy,Potoky village,privatization,,,101,0,0,0,N,,0,0,,,,,,
CK 3,26-Oct-2009,Mon,picket,citizens,inhabitants of Potoky village ,local authorities,Chairman of village council,Residents of Potoky village picketed the village council demanding the resignation of the chairman of the village council due to illegal privatization of property shares.,Cherkasy,Potoky village,privatization,,,101,0,0,0,N,,0,0,,,,,,
CK 3,27-Oct-2009,Tue,picket,citizens,inhabitants of Potoky village ,local authorities,Chairman of village council,Residents of Potoky village picketed the village council demanding the resignation of the chairman of the village council due to illegal privatization of property shares.,Cherkasy,Potoky village,privatization,,,101,0,0,0,N,,0,0,,,,,,
CK 30,1-Apr-2010,Thu,rally,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","People demanded to pay-off the salary debt from November. The communal enterprise ""Cherkasy Electirc Transport"" have to pay-off almost three million hryvnyas. ",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,10.00-12.00,256,0,0,0,N,,0,0,,,,,,
CK 31,7-Apr-2010,Wed,rally,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",local authorities,City administration,"People demanded to pay-off the salary debt from November. The communal enterprise ""Cherkasy Electirc Transport"" have to pay-off almost three million hryvnyas. ",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,,0,0,,,,,,
CK 32,7-Apr-2010,Wed,offer,"local authorities, government",the City Council deputies,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",Government assigned some money for transportation preferential categories of citizens by trolleybuses; the City Council deputies made a decision to grant an advance to take a credit to pay-off demanded salaries by workers and to increase fares,Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,,0,0,,,,,,
CK 33,15-Apr-2010,Thu,offer,communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","Director of the communal enterprise ""Cherkasy Electric Transport"" declared that they entered into an agreement with the bank in order to get two million hryvnas to pay-off salary debt.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,,0,0,,,,,,
CK 34,15-Apr-2010,Thu,offer,workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",Despite the strike workers worked during the funeral days.,Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,,0,0,,,,,,
CK 35,16-Apr-2010,Fri,accede,communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",Workers were payed off the part of salary debt.,Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,,0,0,,,,,,
CK 36,20-Apr-2010,Tue,threat,local authorities,city mayor Serhiy Odarych,communal enterprise,"manager of the ""Cherkasy Electric Transport"" (Черкасиелектротранс)","City mayor Serhiy Odarych threaten manager of the ""Cherkasy Electric Transport"" with the possibility of his arrest in case all the drivers of trolleybuses would not stop the strike. ",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,0,0,0,,,,,,
CK 37,21-Apr-2010,Wed,offer,local authorities,city mayor Serhiy Odarych,,,"In order to pay off salary debt to drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" mayor city Serhiy Odarych became a guarantor to the loan in amount of 2 million of hryvnas.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,0,0,0,,,,,,
CK 38,22-Apr-2010,Thu,negotiation,"workers, trade union","trade union and strike committee of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",,,It was decided not to suspend the strike until full repayment of wages at the meeting of the workers.,Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,272,0,0,0,N,,0,0,,,,,,
CK 39,22-Apr-2010,Thu,rally,party,"CPU, SPU",local authorities,City Council of Cherkasy,The activists held a rally in honor of the birthday of Vladimir Lenin. Also during the rally activists demanded from local authorities to rename the main square of the city and to name it after Vladimir Lenin.,Cherkasy,Cherkasy,Soviet holiday,,,49,0,0,0,N,,0,0,,,,,,
CK 4,25-Oct-2009,Sun,vandalism,unknown,,,,unknowns painted monument to frontier troops with swastika because it contained Soviet symbols,Cherkasy,Kaniv,anti-Communism,,,,0,0,0,Y,0,0,0,,,,,,
CK 40,22-Apr-2010,Thu,rally,"rightists, party",,party,"CPU, SPU",Activists held the rally against communists as an answer to leftists rally in honour of Vladimir Lenin.,Cherkasy,Cherkasy,anti-Communism,23-Apr-2010,,,0,0,0,N,,0,0,,,,,,
CK 41,23-Apr-2010,Fri,accede,communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",workers,"drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)","The management of communal enterprise ""Cherkasy Electric Transport"" received 2 mln UAH credit from the state budget to cover wage arrears.",Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,,0,0,,,,,,
CK 42,26-Apr-2010,Mon,resign,"workers, initiative group","drivers and conductors of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",communal enterprise,"management of communal enterprise ""Cherkasy Electric Transport"" (Черкасиелектротранс)",At the meeting of the strike committee it was decided to suspend the strike because of the partial satisfaction of the wokers' demands.,Cherkasy,Cherkasy,wage arrears,4-Mar-2010,,,0,0,0,N,,0,0,,,,,,
