ID,Event start date,One day?,Event end date,Day of the week,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Number of protesters,Number of protesters arrested,Number of protesters injured,Number of protesters killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
KH12010301,03.01.12,1,03.01.12,Tue,protest,picket,,party,,BYT,law-enforcement,"law-enforcement, government",,,,"Kachanivska penal colony for women, ruling Party of Regions",A few BYT adherents picketed Kachanivska penal colony for women,KH11123001,Kharkiv,Kharkiv,,pro-Tymoshenko,,,5,0,0,0,N,,0,0,N
KIEV12010301,03.01.12,1,03.01.12,Tue,negative response,deprivation of property,court,,,Kyiv Shevchenkivsky district court,,,citizens,,,,"Court convicted activists who made laser show on New Year night with a text ""Freedom to Yulia"".",KIEV12010101,Kyiv,Kyiv,,pro-Tymoshenko,,,,0,0,0,N,,0,0,N
KH12010401,04.01.12,2,,Wed,protest,tent camp,,party,,BYT,law-enforcement,"law-enforcement, government",,,,"Kachanivska penal colony for women, ruling Party of Regions",Activists of BYT pitched two tents near the colony. Here people could leave deliveries to Yu.Tymoshenko.,KH11123001,Kharkiv,Kharkiv,,pro-Tymoshenko,,,15,0,0,0,N,,0,0,N
KH12010402,04.01.12,1,04.01.12,Wed,negative response,preclude,court,,,Kharkiv administrative court,,,,party,,BYT,"Kharkiv administrative court prohibited protests near Kachanivska penal colony for women on January 5-6, claiming that they would impede reparing work",KH11123001,Kharkiv,Kharkiv,,pro-Tymoshenko,,,,0,0,0,N,0,0,0,N
LVIV12010401,04.01.12,approximate,04.01.12,Wed,protest,blockade,unknown,,,probably local inhabitants,,,,,,,"Unknown blocked an entrance to Chernecha hill, wishing cars not to ride pedestrian road.",,Lviv,Lviv,,traffic regulation,,,,0,0,0,N,0,0,0,Y
OD12010401,04.01.12,1,04.01.12,Wed,negative response,protocol,court,,,Primorski district court of Odesa city,,,,party,rightists,Svoboda,"Because action was banned by court, but took place, Svoboda action was determined to be administrative offence by other court and organizers were warned in court order.","Bandera's birthday, OD11122901",Odesa,Odesa,,OUN-UPA,,,,0,0,0,N,0,0,0,N
CK12010501,05.01.12,1,05.01.12,Thu,protest,symbolic,state enterprise,,,municipal orchestra,local authorities,local authorities,,,,city council,Municipal orchestra played march songs against liquidation.,CK12010501,Cherkasy,Cherkasy,,insufficient financing,company closure,,21,0,0,0,N,,0,0,N
CN12010501,05.01.12,1,05.01.12,Thu,protest,picket,,party,rightists,Svoboda,local authorities,"local authorities, company",,,,district council,"Svoboda picketed Kozeletsky district council demanding to close night club ""Tornado"" located in former cinema ""Yubileinyi"".
",,Chernihiv,Kozeletsk,,public health,,,,0,0,0,N,,0,0,N
KH12010501,05.01.12,1,05.01.12,Thu,protest,picket,,party,,BYT,law-enforcement,"law-enforcement, government",,,,"Kachanivska penal colony for women, ruling Party of Regions",BYT adherents picketed Kachanivska penal colony for women,KH11123001,Kharkiv,Kharkiv,12:30-15:00,pro-Tymoshenko,,,99,0,0,0,N,200,0,0,N
KIEV12010501,05.01.12,1,05.01.12,Thu,protest,rally,students,"trade union, NGO, initiative group",leftists,"Direct Action, FRI, Left Opposition",court,court,,,,Kyiv Desnyansky district court,Students protested against decision of the court who worked on affair of student Igor Indylo's murder in police station. The murderers were convicted for too small term.,Indylo,Kyiv,Kyiv,,police abuse,,,19,0,0,0,N,,0,0,N
KIEV12010502,05.01.12,1,05.01.12,Thu,protest,rally,,NGO,,Ukrainian diabetic union,government,"court, company",,,,President's Administration,"Citizens demanded to return plant ""Indar"" to state proterty.",,Kyiv,Kyiv,,public health,nationalization,,,0,0,0,N,,0,0,N
LUTSK12010501,05.01.12,1,05.01.12,Thu,protest,destroy,unknown,,,,party,party,,,,PR,Unknowns spoiled the car of the PR deputy of Lutsk region council Oleg Batyuk.,,Lutsk,Lutsk,,anti-PR,,,,0,0,0,Y,0,0,0,Y
LVIV12010501,05.01.12,1,05.01.12,Thu,protest,graffiti,,initiative group,rightists,autonomous nationalists,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Lviv,Lviv,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
CRIMEA12010601,06.01.12,1,06.01.12,Fri,protest,symbolic,students,trade union,leftists,Student's Action,law-enforcement,court,,,,"Crimea Prosecutor Office, Kyiv Desnyansky district court",Students protested against decision of the court who worked on affair of student Igor Indylo's murder in police station. The murderers were convicted for too small term.,Indylo,Crimea,Simferopol,,police abuse,,,19,0,0,0,N,,0,0,N
KH12010601,06.01.12,1,06.01.12,Fri,protest,picket,,party,,BYT,law-enforcement,"law-enforcement, government",,,,"Kachanivska penal colony for women, ruling Party of Regions",BYT adherents picketed Kachanivska penal colony for women. Again.,KH11123001,Kharkiv,Kharkiv,01:00:00 PM,pro-Tymoshenko,,,150,0,0,0,N,,0,0,N
KH12010602,06.01.12,1,06.01.12,Fri,protest,symbolic,religious institution,party,,"BYT, UPC (KP)",law-enforcement,"law-enforcement, government",,,,"Kachanivska penal colony for women, ruling Party of Regions",BYT invited UPC (KP) priest to have a public prayer ad honorem arrested leader.,KH11123001,Kharkiv,Kharkiv,02:30:00 PM,pro-Tymoshenko,,,151,0,0,0,N,,0,0,N
KH12010603,06.01.12,1,06.01.12,Fri,negative response,preclude,court,,,Kharkiv administrative court,,,,party,,BYT,Kharkiv administrative court prohibited protests near Kachanivska penal colony for women again. This time with no excuses and forever...,KH11123001,Kharkiv,Kharkiv,,pro-Tymoshenko,,,,0,0,0,N,,0,0,N
KIEV12010601,06.01.12,1,06.01.12,Fri,negative response,convict,court,,,Kyiv Pechersky district court,,,,"party, initiative group",rightists,"Svoboda, Black committee",Court convicted activists who made omelette on Eternal Fire memorial supporting rightist protester Hanna Sinkova.,,Kyiv,Kyiv,,Ukrainian nationalism,WW2,,,0,0,0,N,0,0,0,N
UZ12010601,06.01.12,1,06.01.12,Fri,protest,rally,citizens,,,,local authorities,local authorities,,,,,Citizens disagreed with closure of school in Novyi Klyn village.,,Uzhgorod,Novyi Klyn village,,education,,,,0,0,0,N,,0,0,N
UZ12010701,07.01.12,1,07.01.12,Sat,protest,rally,citizens,,,,local authorities,local authorities,,,,,Citizens disagreed with closure of school in Novyi Klyn village.,,Uzhgorod,Novyi Klyn village,,education,,,,0,0,0,N,,0,0,N
KIEV12010801,08.01.12,1,08.01.12,Sun,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Kyiv,Kyiv,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
DN12010902,09.01.12,approximate,09.01.12,Mon,negative response,convict,court,,,,,,neighborhood,,,"village Korsun community, Staropetrovsk village, dacha owners",Village locals who stood against factory development project were fined and one man was proscribed public works.,DN11120802,Donetsk,Korsun,,development projects,environment,,,0,0,0,N,0,0,0,N
DN12010903,09.01.12,approximate,09.01.12,Mon,positive response,accede,local authorities,,,Korsun village council,,,neighborhood,,,"village Korsun community, Staropetrovsk village, dacha owners",Due to public pressure village authorities do not allow the construction of factory in the village.,DN11120802,Donetsk,Korsun,,development projects,environment,,,0,0,0,N,0,0,0,N
LUTSK12010901,09.01.12,1,09.01.12,Mon,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Lutsk,Kovel,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
RV12010901,09.01.12,1,09.01.12,Mon,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Rivne,Rozhyshche,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
RV12010902,09.01.12,1,09.01.12,Mon,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Rivne,Zdovbytsya village,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
UZ12010901,09.01.12,1,09.01.12,Mon,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Uzhgorod,Irshava,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
ZP12010901,09.01.12,approximate,09.01.12,Mon,protest,graffiti,citizens,,,,,government,,,,Yanukovych,They shot paint at Yanukovych billboard.,paint Yanuk,Zaporizhzhya,Zaporizhzhya,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
CN12011001,10.01.12,1,10.01.12,Tue,protest,picket,small business,trade union,,Chernihiv entrepreneurs trade union,local authorities,local authorities,,,,city council,Small business wants smaller tax tariffs.,CN12011001,Chernihiv,Chernihiv,,taxes,,,99,0,0,0,N,,0,0,N
CN12011002,10.01.12,1,10.01.12,Tue,positive response,accede,local authorities,,,city council,,,small business,trade union,,Chernihiv entrepreneurs trade union,Agreed tax tariffs were a bit smallers than the maximum possible.,CN12011001,Chernihiv,Chernihiv,,taxes,,,,0,0,0,N,0,0,0,N
KH12011001,10.01.12,1,10.01.12,Tue,protest,tent camp,,party,,BYT,law-enforcement,"law-enforcement, government",,,,"Kachanivska penal colony for women, ruling Party of Regions","BYT installed two tents not far from Kachanivska penal colony, where they wanted to gather signatures to nominate their leader for Nobel Prize",KH11123001,Kharkiv,Kharkiv,,pro-Tymoshenko,police abuse,,,0,0,0,N,,0,0,N
KH12011002,10.01.12,1,10.01.12,Tue,negative response,preempt,law-enforcement,,,police,,,,party,,BYT,Police with the help of workers from Zhylkomservice took down the tents because of the court decision on January 6 (KH12010603). The tents were taken away from activists. Protesters claimed that tents were installed far enough not too violate the prohibition of court. ,KH11123001,Kharkiv,Kharkiv,,pro-Tymoshenko,police abuse,,,0,0,0,N,,0,0,N
KIEV12011001,10.01.12,1,10.01.12,Tue,protest,break in,students,trade union,leftists,Direct Action,government,government,,,,Verkhovna Rada,"Students broke into Verkhovna Rada building, protesting against new law on higher education.",,Kyiv,Kyiv,,education,social payments,,39,0,0,0,N,,0,0,N
KIEV12011002,10.01.12,1,10.01.12,Tue,negative response,preempt,state forces,,,police,,,students,trade union,leftists,Direct Action,"Police clashed with protesters and pushed then away, into street.",,Kyiv,Kyiv,,education,social payments,,,0,0,0,N,,0,0,N
OD12011001,10.01.12,1,10.01.12,Tue,protest,blockade,neighborhood,,,Str.Shevchenko 10/1,,company,,,,beauty salon,"People obstructed a road, because they dislike the expanding actions of beauty salon company, which is capturing their house territory.",OD12011001,Odesa,Odesa,lasted for 15 min,development projects,land,,15,0,0,0,N,,0,0,N
OD12011002,10.01.12,1,10.01.12,Tue,negative response,beating,workers,,,builders at beauty salon,,,neighborhood,,,Str.Shevchenko 10/1,Worker armed with scrap hit one of the local men.,OD12011001,Odesa,Odesa,,development projects,,,,0,1,0,N,,0,0,N
RV12011001,10.01.12,1,10.01.12,Tue,protest,symbolic,,party,,UNP,government,government,,,,President Yanukovych,"Activists sent a hearing apparatus to Yanukovych, as a symbolic response to his electoral slogan ""I shall hear everybody"".",,Kyiv,Kyiv,,anti-Yanukovych,,,,0,0,0,N,,0,0,N
VN12011001,10.01.12,1,10.01.12,Tue,protest,civil disobedience,neighborhood,,,Vinnytski Khutory village inhabitants,law-enforcement,local authorities,,,,Vinnytsia region attorney,Two people got undressed showing that authorities had made them poor. The issue of conflict was sharing of land in Vinnytski Khutory village.,,Vinnytsia,Vinnytsia,,land,,,2,0,0,0,N,,0,0,N
CK12011101,11.01.12,1,11.01.12,Wed,protest,graffiti,unknown,,,,,government,,,,Yanukovych,In Talne of Cherkasy region Yanukovych bigboard also suffered from blue paint.,paint Yanuk,Cherkasy,Talne,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
CRIMEA12011101,11.01.12,1,11.01.12,Wed,protest,bomb,unknown,,,,,local authorities,,,,Alupka town mayor,Unknowns threw a grenade to the yard of town mayor Viktor Tovstonog.,,Crimea,Alupka,,anti-Tovstonog,,,,0,0,0,N,0,0,0,Y
DN12011101,11.01.12,1,11.01.12,Wed,negative response,criminal case,state forces,,,police,,,workers,,,false bomber,"On Dec., 30 worker false informed police that factory administration is mined, because he wanted wages paid out. Man had to sign non-migration obligation, in case of violations he may be subject to 5 years of imprisonment.",,Donetsk,Donetsk,,wage arrears,,,,0,0,0,N,,0,0,N
KH12011101,11.01.12,1,11.01.12,Wed,negative response,disrupt,"local authorities, communal enterprise",,,Zhylkomservice,,,,party,,BYT,"When BYT activists came to a place, where they wanted to install a tent, they saw a ""Zhylkomservice"" car. This was the same car, which took away the tents the day before.",KH11123001,Kharkiv,Kharkiv,,pro-Tymoshenko,police abuse,,,0,0,0,N,,0,0,N
KH12011102,11.01.12,1,11.01.12,Wed,protest,blockade,,party,,BYT,communal enterprise,communal enterprise,,,,Zhylkomservice,"One of the activists tried to block th car of Zhylkomservice, but failed.",KH11123001,Kharkiv,Kharkiv,,police abuse,,,,0,0,0,N,,0,0,N
KH12011103,11.01.12,1,11.01.12,Wed,negative response,interrogation,law-enforcement,,,"SBU,police",,,,NGO,,"O.Zhyvotkova, secretary of local Prosvita","SBU interrogated O.Zhyvotkova. They accused her in terrorism and threatened her with arrest. Then she was taken to to police, where was interrogated once more",,Kharkiv,Kharkiv,,Ukrainian nationalism,,,,0,0,0,N,,0,0,Y
KR12011101,11.01.12,1,11.01.12,Wed,protest,picket,art institution,party,rightists,"theatre of M.Krapivnytski, supported by Svoboda, Front Zmin, UNP, Udar, BYT",local authorities,local authorities,,,,regional state administration,Theatrical collective again picketed local authorities to withstand their director who is being replaced because of money coming for theatre reconstruction. Now oppositional parties joined them.,"Krapivnytski theatre, kr 11122601",Kirovograd,Kirovograd,,raiders,pro-boss,,,0,0,0,N,,0,0,N
LUTSK12011101,11.01.12,1,11.01.12,Wed,negative response,criminal case,law-enforcement,,,police,,,citizens,,,,The police opened criminal cases on painting Yanukovych billboards in Kovel and Rozhyshche,,Lutsk,Lutsk,,anti-Yanukovych,,,,0,0,0,N,0,0,0,N
LVIV12011101,11.01.12,1,11.01.12,Wed,protest,rally,Chernobyl,,,,local authorities,local authorities,,,,Lviv region state administration,"Chernobyls wanted to receive full amount of their pensions, not omly some money.",,Lviv,Lviv,,social payments,,,29,0,0,0,N,,0,0,N
CK12011201,12.01.12,1,12.01.12,Thu,protest,graffiti,unknown,,,,,government,,,,Yanukovych,In Uman Yanukovych bigboard also suffered from blue paint.,paint Yanuk,Cherkasy,Uman,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
DN12011201,12.01.12,1,12.01.12,Thu,protest,picket,Chernobyl,,,,local authorities,government,,,,"Pension Fund, government of M.Azarov",Chernobyl veterans in Donetsk gather again demanding justice for all.,Chernobyl,Donetsk,Donetsk,,social payments,anti-Azarov,,199,0,0,0,N,,0,0,N
KH12011201,12.01.12,1,12.01.12,Thu,protest,picket,,party,rightists,Svoboda,local authorities,government,,,,Verkhovna Rada,Svoboda protested near the House of Councils against free market in the sphere of land ,,Kharkiv,Kharkiv,,land,,,15,0,0,0,N,,0,0,N
KR12011201,12.01.12,1,12.01.12,Thu,protest,graffiti,unknown,,,,,"government, local authorities",,,,"Yanukovych, S.Tsapiuk",Yanukovych and city mayor bigboards were shot with paint.,paint Yanuk,Kirovograd,Oleksandria,,anti-Yanukovych,anti-mayor,,,0,0,0,Y,0,0,0,N
LUTSK12011201,12.01.12,1,12.01.12,Thu,protest,picket,,party,leftists,CPU,local authorities,local authorities,,,,city council,Activists protested against attorney's appeal on prohibition of all communist symbols in the city which was not supported by the city council,,Lutsk,Lutsk,,anti-Communism,,,9,0,0,0,N,,0,0,N
MK12011201,12.01.12,1,12.01.12,Thu,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Mykolaiv,Mykolaiv,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
RV12011201,12.01.12,1,12.01.12,Thu,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Rivne,Kostopil,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
VN12011201,12.01.12,1,12.01.12,Thu,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Vinnytsia,Vinnytsia,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
VN12011202,12.01.12,1,12.01.12,Thu,protest,vandalism,unknown,,,,,party,,,,BYT,Unknowns attacked Batkivschyna office.,,Vinnytsia,Vinnytsia,,anti-BYT,,,,0,0,0,Y,0,0,0,Y
CRIMEA12011301,13.01.12,1,13.01.12,Fri,protest,picket,workers,,,Citizens and employees of the hospital,local authorities,local authorities,,,,,Citizens protested against hospital closure.,,Crimea,Alupka,,public health,company closure,,999,0,0,0,N,,0,0,N
DN12011301,13.01.12,1,13.01.12,Fri,protest,rally,,party,rightists,"Svoboda, Сivic Stance (Hrytsenko)",,government,,,,,Civic Stance party and some Svoboda rallied against selling of land and gas transport system.,,Donetsk,Donetsk,,land,anti-government,privatization,49,0,0,0,N,,0,0,N
DN12011302,13.01.12,1,13.01.12,Fri,protest,picket,citizens,,,"activists from the region: Gorlivka, Harzyzsk, Krasnoarmijsk, Rodynske",court,local authorities,,,,Appellate administrative court of Donetsk,Activists picketed court session dedicated to right for gatherings regulation.,,Donetsk,Donetsk,,civic liberties,,,5,0,0,0,N,0,0,0,N
DN12011303,13.01.12,1,13.01.12,Fri,protest,rally,neighborhood,,,"Str.Petrovskogo 111, Kirovsky vicinity","local authorities, law-enforcement",company,,,,,People rallied near a construction site they dislike.,,Donetsk,Donetsk,,development projects,,,149,0,0,0,N,,0,0,N
KH12011301,13.01.12,1,13.01.12,Fri,protest,symbolic,,"party, NGO",,"BYT, NRU, 'Green Planet', 'Resonance'",law-enforcement,"law-enforcement, government",,,,"Kachanivska penal colony for women, ruling Party of Regions",Female activists of different organizations greeted Tymoshenko with Old New Year,KH11123001,Kharkiv,Kharkiv,,pro-Tymoshenko,,,19,0,0,0,N,,0,0,N
KIEV12011301,13.01.12,1,13.01.12,Fri,protest,rally,,NGO,,Last Barricade,law-enforcement,court,,,,"Kyiv Pechersky district court, Lukyanivsky investigation cell","Supporters of Yuriy Lutsenko made a symbolic Christmas folk party with political meaning, protesting against his arrest and keeping in the investigatory cell.",,Kyiv,Kyiv,,pro-Lutsenko,,,,0,0,0,N,,0,0,N
KIEV12011302,13.01.12,1,13.01.12,Fri,protest,blockade,neighborhood,,,,local authorities,company,,,,,"Activists blocked Khmelnytskogo street for 10 minutes, to attract attention to the problem of illegal building at Pyrogova 2b st.",,Kyiv,Kyiv,01:30:00 PM,development projects,,,,0,0,0,N,,0,0,N
KIEV12011303,13.01.12,1,13.01.12,Fri,negative response,preempt,state forces,,,Berkut,,,neighborhood,,,,Berkut moved the protesters away from the road they blocked,,Kyiv,Kyiv,,development projects,,,,0,0,0,N,,0,0,N
KIEV12011304,13.01.12,1,13.01.12,Fri,protest,fight,neighborhood,,,,,company,,,,developer employees,Clashes between protesters and developer employees happened,,Kyiv,Kyiv,,development projects,,,,0,3,0,N,,0,0,N
OD12011301,13.01.12,1,13.01.12,Fri,protest,picket,religious institution,,,Orthodox Christians,foreign country,foreign country,,,,Greece,Some organization of Christians picketed Greek consulate supporting superior of monastery in Greece who is suspected in land fraud.,,Odesa,Odesa,,pro-religious leader,,,11,0,0,0,N,,0,0,N
CK12011401,14.01.12,1,14.01.12,Sat,negative response,preclude,court,,,,,,workers,,,Megommetr factory,"Factory workers wanted to protest against raiders, but court prohibited this action.",CK12011401,Cherkasy,Cherkasy,,land,raiders,,,0,0,0,N,0,0,0,N
KIEV12011401,14.01.12,1,14.01.12,Sat,protest,rally,,,rightists,,,law-enforcement,,,,Lukyanivsky investigation cell,Rightists sang Christmas songs for their political prisoners.,,Kyiv,Kyiv,,police abuse,,,,0,0,0,N,,0,0,N
LG12011401,14.01.12,1,14.01.12,Sat,protest,graffiti,unknown,,,,,government,,,,V. Yanukovych,Unknown people painted a billboard with New Year greetings from Yanukovych. Painting was so postmodern that everybody considered it to be spoiled,,Luhansk,Starobilsk,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
DN12011501,15.01.12,1,15.01.12,Sun,protest,rally,,NGO,environmentalists,Internet mobilization,"local authorities, government, law-enforcement",local authorities,,,,,On Sunday many people in the city centre visited a rally for better environment and less pollution.,,Donetsk,Mariupol,,environment,,,901,0,0,0,N,,0,0,N
LUTSK12011501,15.01.12,1,15.01.12,Sun,protest,graffiti,unknown,,,,,government,,,,President Yanukovych,Unknowns spoiled a billboard with Yanukovych portrait.,,Lutsk,Lutsk,,anti-Yanukovych,,,,0,0,0,Y,0,0,0,N
CK12011601,16.01.12,1,16.01.12,Mon,protest,picket,,"party, NGO",rightists,"Svoboda, Committee of Voters, Council of Civic Organizations",local authorities,"local authorities, ethnic minority",,,,"mayor Bodrov, local authorities, jewish community","Rightists picketed local authorities against land distribution of factory Megommetr to Hasidim pilgrims. So, many of the protesters must have been factory workers.",CK12011401,Cherkasy,Uman,,anti-local authorities,land,antisemitism,301,0,0,0,N,,0,0,N
CK12011602,16.01.12,approximate,20.01.12,Mon,protest,picket,Chernobyl,,,liquidators in Cherkasy,local authorities,government,,,,"regional state administration, governor",Chernobyl veterans stand with small picket day by day demanding justful compensations.,Chernobyl,Cherkasy,Cherkasy,,social payments,,,9,0,0,0,N,,0,0,N
