,ID,Event start date,One day?,Event end date,Day of the week,x,y,month,Location String,coordinates,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Pavlichenko,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Public transportation,Number of protesters,Number of civilians arrested,Number of civilians injured,Number of civilians killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
10,CK13022201,2013-02-22,1,2013-02-22,Fri,32.0587805,49.4447888,50,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),negative response,preclude,local authorities,,,city council,,,,party,rightists,Svoboda,Local authorities of Cherkasy tried to restrict freedom of assembly for Svoboda motivating it with city council decision demanding notification 5 days ahead of action. The event took place anyway.,"CK13022501, CK13022201",,Cherkasy,Cherkasy,,anti-PR,anti-Tulub,,,,0.0,0.0,0,N,0.0,0.0,0,N
11,CK13022501,2013-02-25,1,2013-02-25,Mon,32.0587805,49.4447888,50,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,demonstration/march,,party,rightists,"BYT, Udar, Svoboda, Front Zmin",,government,,,,Yanukovich,Opposition marched against Yanukovich's ruling.,"CK13022501, CK13022201",,Cherkasy,Cherkasy,,anti-PR,pro-Tymoshenko,anti-Tulub,,199.0,0.0,0.0,0,N,,0.0,0,N
12,CK13022502,2013-02-25,1,2013-02-25,Mon,32.0587805,49.4447888,50,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,rally,,party,,PR,,,,party,rightists,"BYT, Udar, Svoboda, Front Zmin",PR rallied at the site of oppoisition's protest.,"CK13022501, CK13022201",,Cherkasy,Cherkasy,,anti-opposition,pro-PR,,,49.0,0.0,0.0,0,N,,0.0,0,N
13,CK13022503,2013-02-25,1,2013-02-25,Mon,32.0587805,49.4447888,50,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),negative response,attack,unknown,,,likely pro-PR forces,,,,party,rightists,Svoboda,Likely PR fighters stormed into Svoboda office and damaged performance equipment.,"CK13022501, CK13022201",,Cherkasy,Cherkasy,,anti-opposition,anti-Svoboda,,,,0.0,0.0,0,Y,0.0,0.0,0,N
14,CK13022601,2013-02-26,1,2013-02-26,Tue,30.2203052,48.7497621,50,"Cherkasy, Uman",POINT (30.2203052 48.7497621),protest,symbolic,,party,rightists,Svoboda,,government,,,,Yanukovich,In Uman Svoboda marched with symbolic burial of Yanukovich.,,,Cherkasy,Uman,,anti-Yanukovych,,,,49.0,0.0,0.0,0,N,,0.0,0,N
15,CK13022801,2013-02-28,1,2013-02-28,Thu,30.2203052,48.7497621,50,"Cherkasy, Uman",POINT (30.2203052 48.7497621),protest,harass,unknown,,,likely the ruling party,,,,party,rightists,Svoboda,"In response to ""Yanukovich burial"" in Uman, they left a coffin by oppositioner's house.",CK13022601,,Cherkasy,Uman,,anti-opposition,,,,,0.0,0.0,0,N,0.0,0.0,0,N
16,CK13031201,2013-03-12,1,2013-03-12,Tue,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,disabled,,,hemodialysis patients,local authorities,local authorities,,,,regional state administration,Hemodialysis patients ask authorities to finance private clinic Frezenius.,"CK13031201, Frezenius",,Cherkasy,Cherkasy,,public health,insufficient financing,,,101.0,0.0,0.0,0,N,,0.0,0,N
17,CK13031202,2013-03-12,1,2013-03-12,Tue,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,blockade,disabled,,,hemodialysis patients,local authorities,local authorities,,,,regional state administration,Then they went to block Cherkasy damb bridge.,"CK13031201, Frezenius",,Cherkasy,Cherkasy,,public health,insufficient financing,,,31.0,0.0,0.0,0,N,,0.0,0,N
18,CK13031203,2013-03-12,1,2013-03-12,Tue,30.2203052,48.7497621,51,"Cherkasy, Uman",POINT (30.2203052 48.7497621),negative response,criminal case,law-enforcement,,,police,,,,party,rightists,Svoboda,"Police invited participants of ""Yanukovich burial"" for interrogation, because of opened criminal case of hooliganism.",CK13022601,,Cherkasy,Uman,,anti-Yanukovych,,,,,0.0,0.0,0,N,,0.0,0,N
19,CK13031301,2013-03-13,1,2013-03-13,Wed,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),negative response,criminal case,state forces,,,police,,,disabled,,,hemodialysis patients,Police opened criminal case related to the fact of damb obstruction (which lasted for half an hour).,"CK13031201, Frezenius",,Cherkasy,Cherkasy,,public health,insufficient financing,,,,0.0,0.0,0,N,,0.0,0,N
20,CK13031401,2013-03-14,1,2013-03-14,Thu,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),negative response,harass,state forces,,,police,,,disabled,,,hemodialysis patients,Road police tried to hold off the driver of bus hired by hemodialysis patients heading to Kyiv for protest.,"CK13031201, Frezenius",,Cherkasy,Cherkasy,,public health,insufficient financing,,,,0.0,0.0,0,N,,0.0,0,N
21,CK13031801,2013-03-18,1,2013-03-18,Mon,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,graffiti,,party,,BYT,local authorities,local authorities,,,,"mayor, city council",BYT youth painted road pits with white and put slogans against mayor.,,,Cherkasy,Cherkasy,,traffic regulation,public utilities,anti-Odarych,,,0.0,0.0,0,N,,0.0,0,N
22,CK13032001,2013-03-20,1,2013-03-20,Wed,30.2203052,48.7497621,51,"Cherkasy, Uman",POINT (30.2203052 48.7497621),protest,break in,,"party, NGO",rightists,"Svoboda, BYT, Front Zmin, ""Ukrainian union of B.Khmelnitsky"", ""Council of Uman NGOs""",local authorities,"local authorities, company",,,,"city council, private initiatives",Oppositional parties stormed Uman city council because of land usage decisions and development projects and sport school deprivation.,CK13032001,,Cherkasy,Uman,,land,development projects,sport,,199.0,0.0,0.0,0,N,,0.0,0,N
23,CK13032002,2013-03-20,1,2013-03-20,Wed,30.2203052,48.7497621,51,"Cherkasy, Uman",POINT (30.2203052 48.7497621),negative response,attack,unknown,,,"sportsmen who secured the ""deryban"" session",,,,"party, NGO",rightists,"Svoboda, BYT, Front Zmin, ""Ukrainian union of B.Khmelnitsky"", ""Council of Uman NGOs""","Unknown sportsmen, obviously hired by authorities or interest groups, stood against protestors. One woman was injured, some property was damaged.",CK13032001,,Cherkasy,Uman,,land,development projects,sport,,,0.0,1.0,0,Y,,0.0,0,N
24,CK13032101,2013-03-21,1,2013-03-21,Thu,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,,party,rightists,"Svoboda, BYT, Front Zmin, Udar",local authorities,local authorities,,,,mayor S.Odarych,"Cherkasy opposition demand mayor Odarych to resign. Issues: Frezenius public health financing, against act of city council on the peaceful assemblies, against mayor.",CK13032101,,Cherkasy,Cherkasy,,anti-Odarych,civic liberties,public health,,299.0,0.0,0.0,0,N,29.0,0.0,0,N
25,CK13032102,2013-03-21,1,2013-03-21,Thu,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,break in,,party,rightists,"Svoboda, BYT, Front Zmin, Udar",,local authorities,,,,mayor S.Odarych,"They tried to break in, but police stopped them. Nevertheless, some protesters did break in.",CK13032101,,Cherkasy,Cherkasy,,anti-Odarych,civic liberties,public health,,31.0,0.0,0.0,0,N,29.0,0.0,0,N
26,CK13032103,2013-03-21,1,2013-03-21,Thu,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),positive response,accede,local authorities,,,city council,,,,party,rightists,"Svoboda, BYT, Front Zmin, Udar","City council partly denied the previous decision restricting freedom of assemblies (yet, the part deciding time terms of notification was not changed).",CK13032101,,Cherkasy,Cherkasy,,civic liberties,,,,,0.0,0.0,0,N,0.0,0.0,0,N
27,CK13032104,2013-03-21,1,2013-03-21,Thu,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),negative response,blockade,state forces,,,police,,,,party,rightists,"Svoboda, BYT, Front Zmin, Udar",police prevented them from breaking in,CK13032101,,Cherkasy,Cherkasy,,anti-Odarych,civic liberties,public health,,,0.0,0.0,0,N,29.0,0.0,0,N
28,CK13032201,2013-03-22,1,2013-03-22,Fri,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,disabled,party,rightists,"hemodialysis patients, Svoboda, BYT, Udar, Front Zmin",local authorities,local authorities,,,,"regional state administration, mayor, city council","Hemodialysis patients turned attention of regional state administration to their problem, oppositional parties demanded governor to resign.","CK13032101, CK13031201, Frezenius, CK13032201",,Cherkasy,Cherkasy,,public health,insufficient financing,anti-Tulub,,151.0,0.0,0.0,0,N,,0.0,0,N
29,CK13032202,2013-03-22,1,2013-03-22,Fri,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,break in,disabled,party,rightists,"hemodialysis patients, Svoboda, BYT, Udar, Front Zmin",local authorities,local authorities,,,,"regional state administration, mayor, city council",They stormed into the building. One local BYT deputy broke his finger. Also breaking of PR tent property by the oppositioners is reported by some news.,"CK13032101, CK13031201, Frezenius, CK13032201",,Cherkasy,Cherkasy,,public health,insufficient financing,anti-Tulub,,,0.0,1.0,0,Y,,0.0,0,N
30,CK13032203,2013-03-22,1,2013-03-22,Fri,32.0587805,49.4447888,51,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,fight,,party,,PR youth,,,disabled,party,rightists,"hemodialysis patients, Svoboda, BYT, Udar, Front Zmin",PR youth tried not to let in oppositional protesters.,"CK13032101, CK13031201, Frezenius, CK13032201",,Cherkasy,Cherkasy,,pro-Tulub,pro-PR,,,21.0,0.0,0.0,0,N,,0.0,0,N
31,CK13040301,2013-04-03,1,2013-04-03,Wed,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,,party,rightists,"Svoboda, BYT, FoC, UDAR",law-enforcement,law-enforcement,,,,Cherkasy police department,Opposition demanded from the police to find the person who broke deputy Singayivskyi's finger.,,,Cherkasy,Cherkasy,16::00:00,police non-feasance,,,,31.0,0.0,0.0,0,N,,0.0,0,N
32,CK13040601,2013-04-06,1,2013-04-06,Sat,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,rally,,party,rightists,"BYT, Svoboda, UDAR, FoC","local authorities, government","local authorities, government",,,,"Cherkasy city council, government of Ukraine","Opposition protested against policy of Sergiy Tulub and Viktor Yanukovych, demanding their impeachment.",Rise Ukraine,,Cherkasy,Cherkasy,16:00:00,welfare,anti-Tulub,anti-government,,1249.0,0.0,0.0,0,N,,0.0,0,N
33,CK13040602,2013-04-06,1,2013-04-06,Sat,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),negative response,attack,unknown,,,"men dressed in Svoboda T-shirts and ""Attack Jews!""",,,,party,rightists,"UDAR, BYT, Svoboda","During the opposition rally, some men dressed in Svoboda T-shirts attacked the protesters. Presumably, this was a provocative action supported by Party of Regions.",Rise Ukraine,,Cherkasy,Cherkasy,16:00:00,antisemitism,anti-Svoboda,anti-opposition,,,0.0,1.0,0,N,,0.0,0,N
34,CK13040801,2013-04-08,2,2013-08-12,Mon,32.075382,49.314236,52,"Cherkasy, Verhuny village",POINT (32.075382 49.314236),protest,vigil,neighborhood,,,inhabitants of Verguny village,company,"local authorities, company",,,,"Malo-Buzukivskyi granite quarry, local authorities","Villagers do not let heavy trucks pass through their village, because they damage road and their houses",,,Cherkasy,Verhuny village,,welfare,public utilities,,,,0.0,0.0,0,N,,0.0,0,N
35,CK13040901,2013-04-09,1,2013-04-09,Tue,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,disabled,,,Frezenius patients,local authorities,local authorities,,,,Cherkasy region administration,"Patients of Frezenius picketed region administration, demanding to meet the patients' financing requirements.",Frezenius,,Cherkasy,Cherkasy,10:00:00,insufficient financing,public health,disabled rights,,31.0,0.0,0.0,0,N,,0.0,0,N
36,CK13040902,2013-04-09,1,2013-04-09,Tue,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,symbolic,,party,,BYT (Batkivshchyna Moloda),local authorities,local authorities,,,,Cherkasy local authorities,"Activists tied white stripes around the trees at local park, protesting against their cutting down.",,,Cherkasy,Cherkasy,,environment,,,,10.0,0.0,0.0,0,N,0.0,0.0,0,N
37,CK13041201,4/12/2013,1,4/12/2013,Fri,30.2203052,48.7497621,52,"Cherkasy, Uman",POINT (30.2203052 48.7497621),negative response,preempt,law-enforcement,,,road police,,,,party,rightists,opposition,it was reported that road police did their best to prevent transportation companies from carrying opposition to Rise Ukraine action in Kharkiv,Rise Ukraine,,Cherkasy,Uman,,anti-government,,,,,0.0,0.0,0,N,,0.0,0,N
38,CK13041401,2013-04-14,1,2013-04-14,Sun,30.2203052,48.7497621,52,"Cherkasy, Uman",POINT (30.2203052 48.7497621),protest,demonstration/march,,party,rightists,Svoboda,,"law-enforcement, government",,,,government of Ukraine,Rightists organized a torch march in commemoration of Gonta and Zaliznyak. They urged for revolution and demanded to release Pavlychenkos.,,,Cherkasy,Uman,19:00:00,civic liberties,Ukrainian nationalism,anti-government,,61.0,0.0,0.0,0,N,,0.0,0,N
39,CK13042101,2013-04-21,1,2013-04-21,Sun,32.312237,49.15884,52,"Cherkasy, Melnyky village",POINT (32.312237 49.15884),protest,attack,,party,rightists,"Svoboda, BYT",,,,party,,Party of Regions,"At Kholodnyi Yar celebrations, rightists prevented Party of Regions from unfolding their flag and destroyed it.",,,Cherkasy,Melnyky village,,anti-PR,,,,11.0,0.0,0.0,0,Y,,0.0,0,N
40,CK13042401,2013-04-24,1,2013-04-24,Wed,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,,party,,"Free Democrats Party, inhabitants of Cherkasy",local authorities,,,,,"Cherkasy city council, Serhiy Odarych",Locals rallied in support of city mayor Odarych.,CK13042401,,Cherkasy,Cherkasy,09:30:00,pro-mayor,,,,99.0,0.0,0.0,0,N,,0.0,0,N
41,CK13042402,2013-04-24,1,2013-04-24,Wed,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),negative response,preempt,local authorities,,,local authorities of the city,,,,party,rightists,BYT UDAR Svoboda FoC,"suddenly the road was closed for repair, on which march of opposition was supposed to start the next day. and local authorities reserved the place where rally was supposed to happen, for some concert",Rise Ukraine,,Cherkasy,Cherkasy,,Ukrainian nationalism,pro-Tymoshenko,anti-Yanukovych,,,0.0,0.0,0,N,0.0,0.0,0,N
42,CK13042501,2013-04-25,1,2013-04-25,Thu,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,demonstration/march,,party,rightists,"Svoboda, BYT, UDAR, FoC",government,government,,,,"Cabinet of Ministers, Verkhovna Rada, President of Ukraine","Opposition conducted ""Vstavay, Ukraino"" action in Ukraine. They demanded Tymoshenko's release and government's impeachment. police claims only 400 participants",Rise Ukraine,,Cherkasy,Cherkasy,17:00:00,Ukrainian nationalism,pro-Tymoshenko,anti-Yanukovych,,2701.0,0.0,0.0,0,N,31.0,0.0,0,N
43,CK13042502,2013-04-25,1,2013-04-25,Thu,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,rally,"teachers, workers",party,leftists,"CPU, PR, teachers, workers of administration",,"rightists, party",,,,"opposition, Svoboda","while opposition had Rise Ukraine protest, these people celebrated Victory in WW2 and protested against fascism",,,Cherkasy,Cherkasy,,WW2,neofascism,anti-rightists,,199.0,0.0,0.0,0,N,,0.0,0,N
44,CK13042601,2013-04-26,1,2013-04-26,Fri,32.0587805,49.4447888,52,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),other repression,confrontation,"local authorities, state forces",,,"regional council, police",,,"journalists, politician",,,"journalists of TV-channel Vikka, some opposition deputies",police did not allow them to enter the session of regional council. they consider it to be politically motivated,,,Cherkasy,Cherkasy,,freedom of speech,anti-opposition,,,,0.0,0.0,0,N,,0.0,0,N
45,CK13051701,2013-05-17,1,2013-05-17,Fri,32.0587805,49.4447888,53,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,citizens,,,inhabitants of Cherkasy,court,politician,,,,Serhiy Odarych,Opponents of Odarych came to the court where his case was to be heard.,,,Cherkasy,Cherkasy,,anti-mayor,,,,31.0,0.0,0.0,0,N,,0.0,0,N
46,CK13051702,2013-05-17,1,2013-05-17,Fri,32.0587805,49.4447888,53,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,citizens,,,supporters of Odarych,court,court,,,,court,supporters of ex-mayor also picketed court,,,Cherkasy,Cherkasy,,pro-mayor,,,,31.0,0.0,0.0,0,N,,0.0,0,N
47,CK13051703,5/17/2013,1,5/17/2013,Fri,32.0587805,49.4447888,53,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),negative response,preempt,unknown,,,unknown,,,,party,rightists,opposition,it was reported that somehow there was no tickets to get to Kyiv. opposition related this to Rise Ukraine action,Rise Ukraine,,Cherkasy,Cherkasy,,anti-government,,,,,0.0,0.0,0,N,0.0,0.0,0,Y
48,CK13051704,5/17/2013,approximate,5/17/2013,Fri,30.2203052,48.7497621,53,"Cherkasy, Uman",POINT (30.2203052 48.7497621),negative response,preempt,law-enforcement,,,police,,,,party,rightists,opposition,police harassed local transporters so that they would not take opposition to Rise Ukraine,Rise Ukraine,,Cherkasy,Uman,,anti-government,,,,,0.0,0.0,0,N,,0.0,0,N
49,CK13052301,2013-05-23,1,2013-05-23,Thu,32.0587805,49.4447888,53,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,,party,,Party of Free Democrats,court,court,,,,Cherkasy court,Party of Free Democrats supported Odarych during court hearing.,CK13042401,,Cherkasy,Cherkasy,,officials' illegal actions,pro-mayor,,,99.0,0.0,0.0,0,N,,0.0,0,N
50,CK13052302,2013-05-23,1,2013-05-23,Thu,32.0587805,49.4447888,53,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,citizens,,,opponents of ex-mayor,court,politician,,,,"court, ex-mayor",people protested against ex-mayor,CK13042401,,Cherkasy,Cherkasy,,welfare,anti-Odarych,,,99.0,0.0,0.0,0,N,,0.0,0,N
51,CK13053101,2013-05-31,1,2013-05-31,Fri,32.1008691,49.0401185,53,"Cherkasy, Kamianka",POINT (32.1008691 49.0401185),protest,rally,,party,rightists,"Svoboda, inhabitants of Kamyanka",local authorities,local authorities,,,,"Cherkasy region administration, Kamyanka town council",Activists protested against closure of the district hospital.,,,Cherkasy,Kamianka,,company closure,public health,,,201.0,0.0,0.0,0,N,,0.0,0,N
52,CK13060301,2013-06-03,1,2013-06-03,Mon,32.0587805,49.4447888,54,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,blockade,small business,,,salespeople of Kalynka marketplace,local authorities,local authorities,,,,Cherkasy city council,"Salespeople blocked the road, demanding not to close their sector of the marketplace.",,,Cherkasy,Cherkasy,,company closure,small business rights,unemployment,,,0.0,0.0,0,N,,0.0,0,N
53,CK13061301,2013-06-13,1,2013-06-13,Thu,32.0587805,49.4447888,54,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,picket,small business,,,salespeople from marketplace on Pasterivska street,local authorities,law-enforcement,,,,"Cherkasy city council, law-enforcement",Salespeople demanded to protect them from annoying police checks and not move them to another place,,,Cherkasy,Cherkasy,,small business rights,police abuse,,,31.0,0.0,0.0,0,N,,0.0,0,N
54,CK13061701,2013-06-17,1,2013-06-17,Mon,31.9075101,49.7531372,54,"Cherkasy, Khutory village",POINT (31.9075101 49.7531372),protest,picket,workers,,,workers of Pershe Travnya poultry,company,company,,,,Pershe Travnya poultry,Workers demanded to pay the arreared wages.,,,Cherkasy,Khutory village,,wage arrears,,,,101.0,0.0,0.0,0,N,,0.0,0,N
55,CK13061702,2013-06-17,1,2013-06-17,Mon,30.2203052,48.7497621,54,"Cherkasy, Uman",POINT (30.2203052 48.7497621),protest,beating,unknown,,,"unknown persons, presumably locals",,foreign citizens,,,,a Jewish pilgrim,Unknowns have attacked a hasid and severely beaten him. They were shouting antisemitic chants.,,,Cherkasy,Uman,,antisemitism,,,,,0.0,1.0,0,N,0.0,0.0,0,N
56,CK13062101,2013-06-21,approximate,2013-06-21,Fri,30.2203052,48.7497621,54,"Cherkasy, Uman",POINT (30.2203052 48.7497621),protest,symbolic,,"party, NGO",rightists,"Svoboda, Council of NGOs","ethnic minority, religious institution","ethnic minority, religious institution",,,,Hasids,"Activists put Orthodox cross in Uman - near the place of Hasids' traditional gathering (according to Hasids' beliefs, they cannot pray near any symbol of other religions)",,,Cherkasy,Uman,,antisemitism,religious rights,,,,0.0,0.0,0,N,,0.0,0,N
57,CK13070501,2013-07-05,1,2013-07-05,Fri,32.0587805,49.4447888,55,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,rally,,"party, NGO",rightists,"Svoboda, BYT, UDAR, FoC, Sokil",law-enforcement,law-enforcement,,,,law-enforcement,people protested against police abuse in relation to Vradiivka rape,Vradiivka rape,,Cherkasy,Cherkasy,,civic liberties,officials' illegal actions,police abuse,,49.0,0.0,0.0,0,N,,0.0,0,N
58,CK13070502,2013-07-05,1,2013-07-05,Fri,32.0587805,49.4447888,55,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,fight,,party,,FoC member,,,,party,,FoC member,"some fight occured between two men during opposition protest, though most probably they fought for personal reasons",Vradiivka rape,,Cherkasy,Cherkasy,,civic liberties,,,,2.0,0.0,,0,N,,0.0,0,Y
59,CK13070503,2013-07-05,1,2013-07-05,Fri,32.0587805,49.4447888,55,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,demonstration/march,,NGO,,Naddnipryanskyi Foundation,law-enforcement,law-enforcement,,,,Cherkasy police department,Activists demanded justice in Vradiivka case.,Vradiivka rape,,Cherkasy,Cherkasy,,officials' illegal actions,police abuse,,,31.0,0.0,0.0,0,N,,0.0,0,N
60,CK13070801,2013-07-08,1,2013-07-08,Mon,30.2203052,48.7497621,55,"Cherkasy, Uman",POINT (30.2203052 48.7497621),protest,picket,,"party, NGO",,"BYT, UDAR, Union of Bohdan Khmelnytskyi, Council of NGOs of Uman",law-enforcement,law-enforcement,,,,city police department,people supported Vradiivka protest and demanded Zaharchenko impeachment,Vradiivka rape,,Cherkasy,Uman,12:00:00,civic liberties,police abuse,anti-Zaharchenko,,31.0,0.0,0.0,0,N,,0.0,0,N
61,CK13070901,2013-07-09,1,2013-07-09,Tue,32.0587805,49.4447888,55,"Cherkasy, Cherkasy",POINT (32.0587805 49.4447888),protest,demonstration/march,citizens,,,citizens,law-enforcement,law-enforcement,,,,law-enforcement,people supported Vradiivka protests and gave policeman their honor Code,Vradiivka rape,,Cherkasy,Cherkasy,,civic liberties,officials' illegal actions,police abuse,,49.0,0.0,0.0,0,N,,0.0,0,N
