ID,Event start date,One day?,Event end date,Day of the week,Action type,Action,Actor-structure,Actor-form,Actor-ideology,Actor specified,Target addressee,Target criticized,Target-structure,Target-form,Target-ideology,Target specified,Event,Event series,Pavlichenko,Oblast,Location,Time,Issue 1,Issue 2,Issue 3,Public transportation,Number of protesters,Number of civilians arrested,Number of civilians injured,Number of civilians killed,Property damage,State forces involved in the conflict,Number of state forces injured,Number of state forces killed,Dubious event
DN13092601,2013-09-26,1,2013-09-26,Thu,positive response,support,local authorities,,,"city council housing dept.,",,,neighborhood,,,"Donetsk, Universitetska str., 48","There used to be a protest against development project in Donetsk by MAKO - company of Yanukovich son. Then activist K.Lavrov was imprisoned for 5 years 'for demanding bribe from developers to stop protests'. Now authorities buy the locals by administrating money for capital repair of their house. However, this would not likely happen unless there were those protests.",DN13071301,,Donetsk,Donetsk,,development projects,,,,,0,0,0,N,0,0,0,N
DN13092602,2013-09-26,1,2013-09-26,Thu,protest,blockade,,NGO,environmentalists,"""Green ribbon"", Slovyansk people","local authorities, government","local authorities, company, government",,,,authorities; shale gas developers,"""Green ribbon"" near Slovyansk blocked a road so protesting against shale gas devlopment.",Shale gas extraction,,Donetsk,Sloviansk,,environment,,,,,0,0,0,N,,0,0,N
DN13092603,2013-09-26,1,2013-09-26,Thu,protest,picket,neighborhood,party,,"Khanzhenkovo vic. of Makiivka, Udar",local authorities,"local authorities, company",,,,"city council, Energocapital company",Neighborhood and Udar in Makiivka stood against polluting factory.,,,Donetsk,Makiivka,,environment,,,,41,0,0,0,N,,0,0,N
DN13092701,2013-09-27,1,2013-09-27,Fri,protest,blockade,citizens,,,"sportsmen, students, friends and supporters of old-school Ukrainian boxer",state forces,"state forces, court",,,,"executive service, police, court","Friends and students of old-school Ukrainian boxer, now elderly gentleman Vladislav Zasypko blocked court executive service who came to evict him from house for debts of his relatives.",,,Donetsk,Donetsk,,housing rights,,,,39,0,0,0,N,,0,0,N
DN13100601,2013-10-06,1,2013-10-06,Sun,protest,rally,pensioners,"party, NGO",leftists,"CPU, ""Ukrainian choice""",government,"party, government",,,,"government, PR","CPU and ""Ukrainian choice"" in Donetsk rallied 1020-strong for Russia Customs Union. some jokes like ""PR created same-sex couple with Orange and go to Europe"" were also present. issue of shale gas extraction was rised",DN13100601,,Donetsk,Donetsk,10:00:00,environment,Russia Customs Union,anti-LGBT,,1019,0,0,0,N,,0,0,N
DN13100602,2013-10-06,1,2013-10-06,Sun,protest,rally,,NGO,,"""Young Donbass"" (probably PR-sponsored)",,,pensioners,"party, NGO",leftists,"CPU, ""Ukrainian choice""","Some ""Young Donbass"" counter-rallied CPU and ""Ukrainian choice"". So they promoted EU cooperation. They had very well rhymed slogans!",DN13100601,,Donetsk,Donetsk,,anti-Communism,EU,,,149,0,0,0,N,,0,0,N
DN13100901,2013-10-09,1,2013-10-09,Wed,protest,picket,workers,,,ex-workers of Udar,party,party,,,,Udar,"Again, Udar picketed Udar for wages in Dnipropetrovsk.",,,Donetsk,Donetsk,,wage arrears,anti-UDAR,,,9,0,0,0,N,,0,0,N
DN13101001,2013-10-10,1,2013-10-10,Thu,protest,picket,,"party, NGO",,"BYT, Union of Donbas rescue","local authorities, government","local authorities, government",,,,"treasury office, government",In Donetsk BYT picketed treasury.,treasury october,,Donetsk,Donetsk,,insufficient financing,social payments,local self-government,,12,0,0,0,N,,0,0,N
DN13101201,10/12/2013,approximate,10/12/2013,Sat,negative response,preempt,law-enforcement,,,road police,,,,party,rightists,Svoboda,it was reported that law-enforcement harassed transporters so that they won't take Svoboda to UDA march in Kyiv,,,Donetsk,Donetsk Region,,OUN-UPA,,,,,0,0,0,N,,0,0,N
DN13101301,2013-10-13,1,2013-10-13,Sun,protest,rally,,NGO,,come cossacs,government,"rightists, party",,,,"Svoboda, President","Some cossacs in Slovyansk rallied for Pokrova and cossacs, but against UPA and Svoboda. they also urged President to sing some law on cossacs",,,Donetsk,Sloviansk,,OUN-UPA,Ukrainian nationalism,anti-Svoboda,,,0,0,0,N,,0,0,N
DN13101401,2013-10-14,1,2013-10-14,Mon,negative response,attack,unknown,,,Svoboda haters,,,,party,rightists,Svoboda,"In Slovyansk Svoboda bus, going to Kyiv UPA demonstration was attacked with rocks into the window. it is stated that police was there and did nothing",UA13101201,,Donetsk,Sloviansk,,anti-Svoboda,,,,,0,0,0,Y,,0,0,N
DN13101402,2013-10-14,1,2013-10-14,Mon,protest,rally,,party,leftists,"CPU, PSPU","law-enforcement, government","rightists, party, government",,,,"SBU, authorities; Svoboda","CPU and PSPU in Donetsk stood by Lenin against Svoboda, and for Custom Union",,,Donetsk,Donetsk,10:00:00,Russia Customs Union,OUN-UPA,anti-Svoboda,,91,0,0,0,N,,0,0,N
DN13101403,2013-10-14,approximate,2013-10-14,Mon,protest,rally,,"party, NGO",rightists,"some cossacs, KUN",,,,,,,In Mariupol rather elderly public promoted UPA.,DN13101403,,Donetsk,Mariupol,,language,OUN-UPA,Ukrainian nationalism,,17,0,0,0,N,,0,0,N
DN13101404,2013-10-14,approximate,2013-10-14,Mon,protest,rally,,initiative group,,"some ""antifascist movement""",,"rightists, party",,,,UPA supporters,they counter-rallied DN13101403. they protested against fascism,DN13101403,,Donetsk,Mariupol,,neofascism,OUN-UPA,,,17,0,0,0,N,,0,0,N
DN13101501,2013-10-15,approximate,2013-10-15,Tue,negative response,dismiss,communal enterprise,,,some communal or state enterprise,,,neighborhood,,,,"One of the activists' (initiators) of successful protests against increased public utilities bills in Druzhkivka (DN13093001) relative was fired from work. They say, for protest activity.",DN13070201,,Donetsk,Druzhkivka,,public utilities,price increase,,,,0,0,0,N,0,0,0,N
DN13101701,2013-10-17,1,2013-10-17,Thu,protest,picket,neighborhood,,,Dzerzhynskyi prospect,government,"party, company",,,,"President; development company, local PR deputies",Several mothers from Donetsk tried to turn Presidents attention to development project occupying children playground in their area.,,,Donetsk,Donetsk,,development projects,officials' illegal actions,anti-PR,,5,0,0,0,N,,0,0,N
DN13101901,2013-10-19,1,2013-10-19,Sat,protest,rally,citizens,,,concerned citizens,law-enforcement,car owners,,,,"police, driver, guilty of accident",People in Enakievo demand punishment of killer driver.,,,Donetsk,Yenakiieve,,traffic regulation,,,,29,0,0,0,N,,0,0,N
DN13102301,2013-10-23,1,2013-10-23,Wed,protest,rally,,NGO,,"""For peaceful protests"" coalition",government,government,,,,VR,"NGOs of ""For peaceful protests"" coalition in Donetsk rallied against law project no.2508-a.",no.2508-a,,Donetsk,Donetsk,,civic liberties,,,,7,0,0,0,N,,0,0,N
DN13102501,2013-10-25,1,2013-10-25,Fri,protest,attack,citizens,,,likely suffered relatives,,state enterprise,,,,birth house,In Mariupol woman and a child died in birth house. Likely the suffered relatives broke some windows and drew graffiti at the building of birth house.,,,Donetsk,Mariupol,,public health,officials' illegal actions,,,,0,0,0,Y,0,0,0,N
DN13102502,2013-10-25,1,2013-10-25,Fri,protest,picket,,"initiative group, party, NGO","rightists, autonomous nationalism","Svoboda, BYT, ""Black committee"", 'Committee for freeing political prisoners', Vradiivka movement",court,"party, law-enforcement",,,,PR,"Svoboda, BYT and ""Black committee"" picketed court in support of now trialed tax maidan activist and likely Ukrainian nationalist V.Kruzhko.",,,Donetsk,Donetsk,,small business rights,civic liberties,Ukrainian nationalism,,22,0,0,0,N,,0,0,N
DN13102901,2013-10-29,1,2013-10-29,Tue,protest,picket,workers,,,milkmaids,"law-enforcement, company",company,,,,"""Rassvet"" - agrocompany ""Shakhter""",Milkmaids in Slovyansk picketed company for 2 years of problems with wages.,,,Donetsk,Sloviansk,,wage arrears,,,,,0,0,0,N,,0,0,N
DN13102902,2013-10-29,1,2013-10-29,Tue,protest,rally,,party,leftists,CPU,"local authorities, government",government,,,,"government, Regional administration",CPU sounded their usual repertoire at rally of Komsomol anniversary in Donetsk - they highlighted problems of youth in Ukraine,,,Donetsk,Donetsk,,welfare,civic liberties,Russia Customs Union,,115,0,0,0,N,,0,0,N
DN13110101,11/1/2013,1,11/1/2013,Fri,other repression,disrupt,unknown,,,likely state forces,,,journalists,initiative group,,Stop Censorship journalists,"In Donetsk film show ""Open access"" - journalist investigation against Yanukovich was disrupted by some stinky chemical poured on floor.",open access,,Donetsk,Donetsk,,freedom of speech,anti-Yanukovych,,,,0,0,0,N,,0,0,N
DN13110401,11/4/2013,1,11/4/2013,Mon,protest,demonstration/march,religious institution,"party, NGO",Russian nationalists,"Russian bloc, ""Donbass Rus"", ""Slavic unity"", ""Eurasia youth union"", some Orthodox believers",government,"foreign country, IGO, government",,,,"Ukrainian authorities; Western IGOs, USA",Russian nationalists marched in Donetsk. some neofascist symbols and slogans were used,DN13110401,,Donetsk,Donetsk,16:00:00,neofascism,Russian nationalism,anti-USA,,151,0,0,0,N,,0,0,N
DN13110402,11/4/2013,1,11/4/2013,Mon,protest,attack,,,rightists,likely Svoboda,,"party, religious institution, Russian nationalists, NGO",,,,Russian nationalists on march,"In Donetsk Ukrainian rightists engaged pro-Russian nationalists, there was a minor clash. Police quickly intervened. 2 or 4 attackers",DN13110401,,Donetsk,Donetsk,,Ukrainian nationalism,anti-Russia,,,3,0,0,0,N,,0,0,N
DN13110403,11/4/2013,1,11/4/2013,Mon,negative response,arrest,state forces,,,police,,,,,rightists,likely Svoboda,Police detained 4 or 2 Ukrainian nationalists who attacked Russian march in Donetsk.,DN13110401,,Donetsk,Donetsk,,Ukrainian nationalism,anti-Russia,,,,3,0,0,N,,0,0,N
DN13110501,11/5/2013,1,11/5/2013,Tue,protest,picket,citizens,,,"investors of housing complex ""Pryvokzalnyi""",local authorities,company,,,,"Altkom development company, local authorities",people protested because there is no progress in building of their apartment buildings,,,Donetsk,Donetsk,,housing rights,fraud,,,35,0,0,0,N,,0,0,N
DN13110502,11/5/2013,1,11/5/2013,Tue,protest,picket,,,environmentalists,some animal rights activists,local authorities,"communal enterprise, local authorities",,,,"communal enterprise, local authorities",people blamed communal enterprise in killing homeless animals and demanded to build a shelter for them,,,Donetsk,Donetsk,,animal rights,,,,11,0,0,0,N,,0,0,N
DN13110601,11/6/2013,1,11/6/2013,Wed,protest,vandalism,citizens,,,local man,,,,,,,local man damaged monument of Lenin,DN13110601,,Donetsk,Sadove village,,anti-Communism,,,,1,0,0,0,Y,0,0,0,N
DN13110602,11/6/2013,1,11/6/2013,Wed,negative response,criminal case,law-enforcement,,,police,,,citizens,,,local man,criminal case was opened,DN13110601,,Donetsk,Sadove village,,anti-Communism,,,,,0,0,0,N,0,0,0,N
DN13110603,11/6/2013,1,11/6/2013,Wed,negative response,arrest,state forces,,,police,,,citizens,,,vandal,vandal was detained,DN13110601,,Donetsk,Sadove village,,anti-Communism,,,,,1,0,0,N,,0,0,N
DN13110701,11/7/2013,1,11/7/2013,Thu,other repression,arson,unknown,,,"likely road police or other ""Road control"" haters",,,,NGO,,"""Road control""","Car of activist of ""Road control"" in Yasynovata, Donetsk region, was set on fire.",,,Donetsk,Yasynovata,19:00:00,police abuse,,,,,0,0,0,Y,,0,0,N
DN13110702,11/7/2013,1,11/7/2013,Thu,protest,demonstration/march,,party,leftists,CPU,,"rightists, LGBT, government",,,,"government, LGBT, rightists","they celebrated the anniversary of October Revolution, criticized government and agitated for Custom Union. LGBT and rightists were also criticized/ party claimed 5000 people, mass-media - 2000",,,Donetsk,Donetsk,14:00:00,Russia Customs Union,anti-LGBT,anti-government,,3499,0,0,0,N,,0,0,N
DN13110703,11/7/2013,1,11/7/2013,Thu,protest,demonstration/march,,party,leftists,CPU,government,"IGO, government",,,,"EU, government","they celebrated the anniversary of October Revolution, protested against EU and for Custom Union",,,Donetsk,Kramatorsk,,pro-Communism,Russia Customs Union,anti-government,,99,0,0,0,N,,0,0,N
DN13110704,11/7/2013,2,11/8/2013,Thu,other repression,harass,unknown,,,unknown,,,,party,,Democratic alliance leader Gatsko,he was harassed on phone and followed be car the next day,,,Donetsk,Donetsk,,anti-Democratic Alliance,,,,,0,0,0,N,0,0,0,N
DN13111001,11/10/2013,1,11/10/2013,Sun,other repression,arrest,state forces,,,Police,,,football fans,,,Fan who used red-black flag,Fan who hung red-black flag (UPA) was arrested by the police. Police said that this flag belongs to prohibited ones according FIFA decision. ,DN13111001,,Donetsk,Donetsk,,Ukrainian nationalism,,,,,1,0,0,N,,0,0,N
DN13111002,11/10/2013,1,11/10/2013,Sun,other repression,protocol,law-enforcement,,,police,,,football fans,,,Fan who used red-black flag,protocol was issued,DN13111001,,Donetsk,Donetsk,,Ukrainian nationalism,,,,,0,0,0,N,0,0,0,N
DN13111201,11/12/2013,1,11/12/2013,Tue,protest,picket,,,environmentalists,"Activists with green flags ""No shale deserts"" and signs ""Stop Fracking""","local authorities, government",company,,,,"President of Ukraine, Head of the Donestska ODA, Chairman of Donetsk Regional Council, Shell and other companies ",Activists protested against fracking and extraction of shale gas. Blamed gas companies for disinformation and criticized government ,Shale gas extraction,,Donetsk,Donetsk,,environment,anti-government,,,75,0,0,0,N,,0,0,N
DN13111301,11/13/2013,1,11/13/2013,Wed,protest,picket,neighborhood,,,Dvorzova str 15 and 13,local authorities,"local authorities, company",,,,"City council of Kramatorsk, building company",Dwellers of Dvorzova str 15 and 13 protested against building of shopping centre. ,,,Donetsk,Kramatorsk,,development projects,,,,,0,0,0,N,,0,0,N
DN13111401,11/14/2013,approximate,11/14/2013,Thu,other repression,harass,unknown,,,Unknown,,,,party,rightists,Svoboda ,"Unknown threatened Svoboda activists. As a result, there are no members in local organization.",,,Donetsk,Yenakiieve ,,anti-Svoboda,,,,,0,0,0,N,0,0,0,N
DN13111601,11/16/2013,1,11/16/2013,Sat,protest,attack,"skinheads, football fans",initiative group,rightists,"North 8, ultra-right fans of FC ""Shakhtar""",,"leftists, initiative group",,,,"Antifascists, Workers' club ""Gernika""",Group of skinheads attacked 7 antifascists before presentation of movie about member of antifascist movement. ,DN13111601,,Donetsk,Donetsk,17:15:00,neofascism,anti-leftists,,,18,0,,0,N,0,0,0,N
DN13111602,11/16/2013,approximate,11/16/2013,Sat,protest,graffiti,skinheads,,rightists,Skinheads ,,,,,,,Skinheads wrote Nazi slogans on the walls of library where film about member of antifascist movement should be demonstrated or buildings near this library.,DN13111601,,Donetsk,Donetsk,,neofascism,,,,,0,0,0,Y,0,0,0,N
DN13111603,11/16/2013,1,11/16/2013,Sat,negative response,criminal case,law-enforcement,,,Police ,,,"football fans, skinheads",initiative group,rightists,"North 8, ultra-right fans of FC ""Shakhtar""",criminal case was opened,DN13111601,,Donetsk,Donetsk,,neofascism,anti-leftists,,,,0,0,0,N,0,0,0,N
DN13111901,11/19/2013,1,11/19/2013,Tue,protest,picket,workers,trade union,,Mine builders of Shaft-sinking control # 10 (Shakhtoprohodcheskoe upravlenie #10),local authorities,local authorities,,,,State Treasury in Donetsk,Workers demanded that their wages be paid of State Treasury in Donetsk. ,DN13111901,,Donetsk,Donetsk,,wage arrears,,,,41,0,0,0,N,,0,0,N
DN13111903,11/19/2013,approximate,11/19/2013,Tue,protest,confrontation,,NGO,,Members of Artemivsk and Konstantunivsk Communities of Hunters and Fishers,NGO,NGO,,,,Community of Hunters and Fishers Regional Council ,"Members tried to get into session of Council. They wanted to see financial statement which include data about membership fees expenditures. However, the session was put off. ",,,Donetsk,Donetsk,,corruption,,,,50,0,0,0,N,,0,0,N
DN13112101,11/21/2013,approximate,11/21/2013,Thu,protest,picket,,party,leftists,"Local dwellers, CPU",local authorities,local authorities,,,,Mariupol city council,Activists protested against high prices in public transportation. They claimed that these prices were not economically sound.,,,Donetsk,Mariupol,,public transportation,price increase,,,31,0,0,0,N,3,0,0,N
DN13112102,11/21/2013,2,11/30/2013,Thu,protest,rally,"students, artists","party, NGO",rightists,"Donetsk dwellers, BYT, Svoboda, UDAR, Democratic Alliance, some NGOs",government,government,,,,"V. Yanukovich, M. Azarov, Cabinet of Ministers",Rally in support of EU-Ukraine association. People protested against suspension in the process of signing EU-Ukraine agreement. reported numbers - from 10 to 400,"Euromaidan, DN13112102",,Donetsk,Donetsk,,EU,Ukrainian nationalism,anti-government,,205,0,0,0,N,15,0,0,N
DN13112201,11/22/2013,1,11/22/2013,Fri,protest,vandalism,unknown,,,Unknown,,,,,,,Unknown destroyed 2 signs which were standing on the street in the city center. On these signs the information about history of Donetsk during WW2 was presented.,,,Donetsk,Donetsk,,WW2,,,,,0,0,0,Y,0,0,0,N
DN13112203,11/22/2013,1,11/22/2013,Fri,protest,harass,unknown,,,unknown in Anonymous masks,,"journalists, foreign country, NGO",,,,"V. Ishenko (journalist), O.Grishin (CVU (Committee of Voters of Ukraine)), USA
","V.Ishenko and O,Grishin found near their houses leaflets ""These people want to organize bloody revolution in Ukraine"" with their pictures. likely related to their participation in events, organized by US ex-officials",,,Donetsk,Donetsk,,anti-USA,,,,,0,0,0,N,0,0,0,N
DN13112501,11/25/2013,1,11/25/2013,Mon,negative response,disrupt,communal enterprise,,,"communal enterprise ""Ritual services""",,,,party,rightists,"pro-EU protesters (Batkivshchina, Svoboda)","Communal enterprise workers tried to make their way to Shevchenko monument to wash it, but refused to show any papers. Protesters booed them, suspecting provokers, and washed monument themselves.","Euromaidan, DN13112102",,Donetsk,Donetsk,morning,EU,,,,,0,0,0,N,,0,0,N
DN13112502,11/25/2013,1,11/25/2013,Mon,protest,confrontation,,,Russian nationalists,"men, who called themselves ""cossacks"" and ""Slavs""",,,"artists, students","party, NGO",rightists,"Donetsk dwellers, BYT, Svoboda, UDAR, Democratic Alliance, some NGOs
","unknown men, who called themselves ""cossacks"" confronted pro-EU protesters, telling they had protest on the same place against EU and for Slavic Unity","Anti-Euromaidan, DN13112102",,Donetsk,Donetsk,evening,EU,Russian nationalism,,,31,0,0,0,N,,0,0,N
DN13112601,11/26/2013,1,11/26/2013,Tue,protest,rally,students,party,Russian nationalists,"Russian Bloc, 30 students",government,"foreign country, LGBT, party",,,,"EU, opposition","Russian Bloc party protested against Ukraine-EU association, gay marriages and opposition. They supported Russia Customs Union integration.",Anti-Euromaidan,,Donetsk,Donetsk,,Russia Customs Union,anti-LGBT,anti-opposition,,31,0,0,0,N,,0,0,N
DN13112602,11/26/2013,1,11/26/2013,Tue,negative response,preclude,local authorities,,,Donetsk government,,,politician,party,leftists,CPU,Donetsk authorities forbade the 27.11.13 CPU picket.,Anti-Euromaidan,,Donetsk,Donetsk,,Russia Customs Union,,,,,0,0,0,N,,0,0,N
DN13112603,11/26/2013,approximate,11/26/2013,Tue,positive response,accede,local authorities,,,local department of Treasury,,,workers,trade union,,Mine builders of Shaft-sinking control # 10 (Shakhtoprohodcheskoe upravlenie #10),after the protest treasury started paying wages,DN13111901,,Donetsk,Horlivka,,wage arrears,,,,,0,0,0,N,0,0,0,N
DN13112701,11/27/2013,1,11/27/2013,Wed,other repression,destroy,unknown,,,unknown,,,,party,,Batkivshchyna Donetsk region leader D. Tokar,"Unknown people broke the windshield of D. Tokars car, disrupting his trip to Kharkiv on Y. Timoshenko's birthday.",Euromaidan,,Donetsk,Horlivka,07:00:00,anti-Tymoshenko,anti-opposition,,,,0,0,0,Y,0,0,0,Y
DN13112702,11/27/2013,1,11/27/2013,Wed,protest,rally,pensioners,party,leftists,"CPU, pensioners",government,"foreign country, LGBT, politician",,,,"EU, LGBT, Tyahnybok, Yatsenuk, Klychko","Around 150 CPU activists protested against Ukraine-EU association, gay marriages and opposition leaders. They supported Russia Customs Union integration.",Anti-Euromaidan,,Donetsk,Donetsk,morning,Russia Customs Union,anti-LGBT,anti-opposition,,151,0,0,0,N,,0,0,N
DN13112703,11/27/2013,1,11/27/2013,Wed,protest,motorcade,car owners,,,Donetsk pro-EU car owners,government,government,,,,Ukrainian government,"Donetsk car owners organized a pro-EU motorcade, supporting the EU-Ukraine association.","Euromaidan, DN13112102",,Donetsk,Donetsk,,EU,,,,5,0,0,0,N,,0,0,N
DN13112704,11/27/2013,1,11/27/2013,Wed,protest,strike,students,,,Donetsk National University students,government,government,,,,Ukrainian government,"5 Donetsk National University students began a strike in front of their university, supporting EU-Ukraine association.","Euromaidan, DN13112102, DN13112704",,Donetsk,Donetsk,12:00:00,EU,Russia Customs Union,,,5,0,0,0,N,,0,0,N
DN13112705,11/27/2013,1,11/27/2013,Wed,negative response,disrupt,education institution,,,Donetsk National University administration,,,students,,,Donetsk National University students,"Donetsk National University administration forbade students to protest near university and told them to get out, threatening to call the police","Euromaidan, DN13112704",,Donetsk,Donetsk,12:00:00,EU,Russia Customs Union,,,,0,0,0,N,,0,0,N
DN13112706,11/27/2013,1,11/27/2013,Wed,negative response,imprisonment,court,,,Voroshylovskyi district court,,,citizens,,,Andrij Kaluhin,court convinced him for 8 years in prison for taking hostage and injuring her on 12 of March (he demanded fraud credit union to give him back his money),DN13031202,,Donetsk,Donetsk,,fraud,,,,,1,0,0,N,,0,0,N
DN13112707,11/27/2013,1,11/27/2013,Wed,negative response,deprivation of property,court,,,Voroshylovskyi district court,,,citizens,,,Andrij Kaluhin,court also convinced him to pay 30000 to victim for taking hostage and injuring her on 12 of March (he demanded fraud credit union to give him back his money),DN13031202,,Donetsk,Donetsk,,fraud,,,,,0,0,0,N,,0,0,N
DN13112801,11/28/2013,1,11/28/2013,Thu,protest,symbolic,citizens,,,2 participants of Euromaidan,art institution,,,,,"dramatic theater, participants of the conference","they picketed some conference, with silent question ""intelligentsia, where are you?""",Euromaidan,,Donetsk,Donetsk,,EU,,,,2,0,0,0,N,,0,0,N
DN13120101,12/1/2013,2,12/19/2013,Sun,protest,rally,"religious institution, students, Chernobyl","party, trade union, NGO",rightists,"For Ukraine, BYT, Svoboda, UDAR, some NGOs, Chernobyl liquidators, independent trade union of Donbass miners, Greek Catholic priests",,"state forces, government",,,,"government, Berkut",they protested against power abuse by government and Berkut in relation to events in Kyiv on 30th of November. from 10 to 400 participants,Euromaidan,,Donetsk,Donetsk,,police abuse,EU,anti-government,,205,0,0,0,N,,0,0,N
DN13120102,12/1/2013,1,12/1/2013,Sun,protest,symbolic,citizens,,,pro-EU protesters on local Euromaidan,,government,,,,President,they burned Yanukovych portrait,Euromaidan,,Donetsk,Donetsk,,police abuse,EU,anti-Yanukovych,,,0,0,0,N,,0,0,N
DN13120103,12/1/2013,2,12/2/2013,Sun,protest,rally,citizens,,,pro-EU citizens,,"state forces, government",,,,"government, Berkut",they protested for EU integration in response to event o 30th of November in Kyiv,Euromaidan,,Donetsk,Kramatorsk,,police abuse,EU,anti-government,,99,0,0,0,N,,0,0,N
DN13120104,12/1/2013,2,12/2/2013,Sun,protest,rally,"workers, pensioners, students, artists",,,pro-EU protesters,local authorities,"state forces, government",,,,"government, Berkut, city council",they protested against events on Kyiv Euromaidan on 30th of November and demanded EU integration,Euromaidan,,Donetsk,Mariupol,,police abuse,EU,anti-government,,49,0,0,0,N,,0,0,N
DN13120201,12/2/2013,1,12/2/2013,Mon,protest,rally,,party,,"PR, people (some against their will)",government,"party, state forces",,,,"government, opposition, Berkut","people protested against state forces violence on Euromaidan in Kyiv on 30th of November, demanded government to make order in Kyiv",Anti-Euromaidan,,Donetsk,Yenakiieve,,police abuse,pro-government,anti-opposition,,1999,0,0,0,N,,0,0,N
DN13120301,12/3/2013,1,12/3/2013,Tue,protest,picket,,party,,BYT,court,court,,,,Appeal court ,"they picketed court, stating that their ex-leader Mateichenko had been convicted illegally",DN13080501,,Donetsk,Donetsk,,civic liberties,officials' illegal actions,,,49,0,0,0,N,,0,0,N
DN13120302,12/3/2013,1,12/3/2013,Tue,protest,picket,citizens,,,deceived investors,court,company,,,,"Appeal court, fraud credit unions",they demanded to give them back their money,,,Donetsk,Donetsk,,fraud,,,,149,0,0,0,N,,0,0,N
DN13120303,12/3/2013,1,12/3/2013,Tue,protest,rally,citizens,,,local man,,government,,,,government,information on motives of the protest absent. maybe he protested in support of Euromaidan,Euromaidan,,Donetsk,Mariupol,,EU,,,,1,0,0,0,N,,0,0,Y
DN13120304,12/3/2013,1,12/3/2013,Tue,negative response,confrontation,unknown,,,2 men,,,citizens,,,protester,"2 men took away protester's banner. dubious, because protest itself was dubious",Euromaidan,,Donetsk,Mariupol,,EU,,,,,0,0,0,N,,0,0,Y
DN13120401,12/4/2013,1,12/4/2013,Wed,protest,rally,"workers, local authorities","party, trade union",,"PR, workers (likely some against their will), deputies of local and district authorities",government,party,,,,"government, opposition","they blamed opposition in destabilization of the country, supported President and demanded to punish provocators. reported numbers - from 3000 to 20000",Euromaidan,,Donetsk,Donetsk,,pro-government,anti-opposition,,,11501,0,0,0,N,51,0,0,N
DN13120402,12/4/2013,approximate,12/4/2013,Wed,negative response,harass,education institution,,,professional technical college 18,,,students,,,students,students were harassed that they would receive no stipend if they go to Kyiv on Euromaidan,Euromaidan,,Donetsk,Donetsk,,EU,,,,,0,0,0,N,0,0,0,N
DN13120501,12/5/2013,approximate,12/5/2013,Thu,other repression,search,state forces,,,tax police,,,mass-media,,,0629 media,tax police made numerous checks and found nothing. supposedly it was because media had criticized local authorities,,,Donetsk,Mariupol,,freedom of speech,,,,,0,0,0,N,,0,0,Y
DN13120601,12/6/2013,approximate,12/6/2013,Fri,negative response,preempt,local authorities,,,RSA,,,citizens,,,pro-EU protesters,RSA officials harassed transportation companies with deprivation of their licenses so that they would not transport protesters to Euromaidan in Kyiv,Euromaidan,,Donetsk,Donetsk,,EU,,,,,0,0,0,N,0,0,0,N
DN13120701,12/7/2013,1,12/7/2013,Sat,protest,motorcade,car owners,party,,"pro-EU protesters, opposition",,government,,,,government ,they rallied for EU cooperation. 20 to 40 cars reported,Euromaidan,,Donetsk,Donetsk,,EU,,,,31,0,0,0,N,,0,0,N
DN13120702,12/7/2013,1,12/7/2013,Sat,protest,rally,,party,rightists,"BYT, UDAR, Svoboda, NRU",,"state forces, government",,,,"Berkut, government",they had rally in support of Euromaidan,Euromaidan,,Donetsk,Kramatorsk,,police abuse,EU,anti-government,,51,0,0,0,N,,0,0,N
DN13120703,12/7/2013,2,12/8/2013,Sat,protest,rally,,party,,"UDAR, Euromaidan",,"state forces, government",,,,"V.Yanukovych, Cabinet of Ministers, Berkut",Euromaidan in Mariupol. 200 reported,Euromaidan,,Donetsk,Mariupol,,police abuse,EU,anti-government,,199,0,0,0,N,3,0,0,N
DN13120801,12/8/2013,1,12/8/2013,Sun,negative response,harass,unknown,,,3 men,,,"religious institution, students","party, trade union, NGO",rightists,"For Ukraine, BYT, Svoboda, UDAR, some NGOs, Chernobyl liquidators, independent trade union of Donbass miners, Greek Catholic priests",3 men videotaped Euromaidan participants and harassed them,Euromaidan,,Donetsk,Donetsk,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
DN13120802,12/8/2013,1,12/8/2013,Sun,other repression,protocol,state forces,,,police,,,citizens,,,a woman from Kyiv,"a woman was given a protocol because of putting ""provocative"" posters on the wall. posters were likely for EU and against government",Euromaidan,,Donetsk,Donetsk,,EU,anti-government,,,,0,0,0,N,,0,0,N
DN13120901,12/9/2013,1,12/9/2013,Mon,negative response,harass,unknown,,,men in the age of 30,,,citizens,,,activists of local Euromaidan,Activists of local Euromaidan were harassed by unknown men. ,Euromaidan,,Donetsk,Donetsk,,police abuse,EU,anti-government,,,0,0,0,N,,0,0,N
DN13121001,12/10/2013,approximate,12/10/2013,Tue,protest,graffiti,teachers,,,professor of philosophy at the local university,,government,,,,government,Local professor drew a graffiti: 'Bandu het'!' (Get the gang away!),"Euromaidan, DN13121001",,Donetsk,Torez,,anti-government,,,,1,0,0,0,Y,0,0,0,N
DN13121501,12/15/2013,1,12/15/2013,Sun,protest,rally,,party,,"Kostiantynivka dwellers, European Party of Ukraine, For Ukraine",government,government,,,,Ukrainian government,Kostiantynivka dwellers supported Euromaidan protests.,Euromaidan,,Donetsk,Kostiantynivka,,police abuse,,,,29,0,0,0,N,,0,0,N
